training_id,employee_id,course_name,course_category,assigned_date,completion_date,completion_status,training_hours,training_score,ingestion_timestamp,source_file_name,source_system,pipeline_run_id
TRN000001,EMP0001,First Line Manager Training,Leadership,2024-07-03,,Overdue,14.8,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000002,EMP0001,Budget Management,Finance,2025-08-05,2025-09-01,Completed,15.0,88.4,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000003,EMP0002,Power BI Fundamentals,Technical,2025-01-30,2025-02-23,Completed,13.7,81.8,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000004,EMP0002,Stakeholder Management,Soft Skills,2025-04-24,,Not Started,7.0,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000005,EMP0002,Presentation Skills,Soft Skills,2024-12-08,2024-12-16,Completed,1.7,60.3,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000006,EMP0003,Cloud Data Fundamentals,Technical,2025-12-05,2025-12-22,Completed,2.1,81.1,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000007,EMP0003,Workplace Health and Safety,Compliance,2024-06-24,2024-07-10,Completed,2.9,65.2,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000008,EMP0003,Stakeholder Management,Soft Skills,2025-08-15,,In Progress,3.9,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000009,EMP0003,Leading High Performing Teams,Leadership,2024-08-21,2024-09-25,Completed,4.5,72.3,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000010,EMP0004,Power BI Fundamentals,Technical,2024-01-18,,Not Started,5.6,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
