attendance_key,attendance_id,employee_key,attendance_month_key,working_days,present_days,absent_days,late_arrivals,remote_work_days,overtime_hours,attendance_rate,absence_rate
1,ATT000001,1,20240101,23,21,2,0,18,3.0,0.913,0.087
2,ATT000002,1,20240201,21,21,0,0,17,16.4,1.0,0.0
3,ATT000003,1,20240301,21,18,3,3,13,6.6,0.8571,0.1429
4,ATT000004,1,20240401,22,22,0,1,20,5.0,1.0,0.0
5,ATT000005,1,20240501,23,22,1,1,16,11.2,0.9565,0.0435
6,ATT000006,1,20240601,20,20,0,3,17,7.5,1.0,0.0
7,ATT000007,1,20240701,23,21,2,0,19,7.5,0.913,0.087
8,ATT000008,1,20240801,22,20,2,2,14,6.6,0.9091,0.0909
9,ATT000009,1,20240901,21,21,0,0,20,9.5,1.0,0.0
10,ATT000010,1,20241001,23,22,1,3,18,5.9,0.9565,0.0435
11,ATT000011,1,20241101,21,18,3,0,12,12.1,0.8571,0.1429
12,ATT000012,1,20241201,22,19,3,1,14,3.9,0.8636,0.1364
13,ATT000013,1,20250101,23,20,3,2,15,3.3,0.8696,0.1304
14,ATT000014,1,20250201,20,17,3,0,14,0.0,0.85,0.15
15,ATT000015,1,20250301,21,20,1,0,17,6.8,0.9524,0.0476
16,ATT000016,1,20250401,22,22,0,3,16,0.0,1.0,0.0
17,ATT000017,1,20250501,22,21,1,0,15,6.1,0.9545,0.0455
18,ATT000018,1,20250601,21,18,3,1,14,2.0,0.8571,0.1429
19,ATT000019,1,20250701,23,20,3,0,12,2.3,0.8696,0.1304
20,ATT000020,1,20250801,21,19,2,1,15,0.3,0.9048,0.0952
21,ATT000021,1,20250901,22,21,1,3,20,7.5,0.9545,0.0455
22,ATT000022,1,20251001,23,18,5,1,16,0.9,0.7826,0.2174
23,ATT000023,1,20251101,20,18,2,1,15,7.8,0.9,0.1
24,ATT000024,1,20251201,23,19,4,0,12,5.1,0.8261,0.1739
25,ATT000025,1,20260101,22,18,4,2,15,9.1,0.8182,0.1818
26,ATT000026,1,20260201,20,20,0,0,15,7.6,1.0,0.0
27,ATT000027,1,20260301,22,19,3,1,12,2.2,0.8636,0.1364
28,ATT000028,1,20260401,22,20,2,1,18,0.7,0.9091,0.0909
29,ATT000029,1,20260501,21,19,2,2,19,3.7,0.9048,0.0952
30,ATT000030,1,20260601,22,18,4,5,14,8.9,0.8182,0.1818
31,ATT000031,2,20240101,23,22,1,0,11,3.5,0.9565,0.0435
32,ATT000032,2,20240201,21,21,0,0,4,5.9,1.0,0.0
33,ATT000033,2,20240301,21,19,2,1,8,0.0,0.9048,0.0952
34,ATT000034,2,20240401,22,22,0,1,11,5.1,1.0,0.0
35,ATT000035,2,20240501,23,22,1,2,9,0.8,0.9565,0.0435
36,ATT000036,2,20240601,20,20,0,0,6,2.4,1.0,0.0
37,ATT000037,2,20240701,23,23,0,0,11,1.0,1.0,0.0
38,ATT000038,2,20240801,22,22,0,0,13,6.8,1.0,0.0
39,ATT000039,2,20240901,21,19,2,2,4,0.0,0.9048,0.0952
40,ATT000040,2,20241001,23,21,2,0,7,7.6,0.913,0.087
41,ATT000041,2,20241101,21,20,1,1,11,8.0,0.9524,0.0476
42,ATT000042,2,20241201,22,21,1,0,8,0.7,0.9545,0.0455
43,ATT000043,2,20250101,23,22,1,1,8,1.8,0.9565,0.0435
44,ATT000044,2,20250201,20,20,0,0,14,1.4,1.0,0.0
45,ATT000045,2,20250301,21,19,2,0,7,7.6,0.9048,0.0952
46,ATT000046,2,20250401,22,19,3,0,4,7.1,0.8636,0.1364
47,ATT000047,2,20250501,22,22,0,0,2,1.5,1.0,0.0
48,ATT000048,2,20250601,21,21,0,0,11,0.0,1.0,0.0
49,ATT000049,2,20250701,23,22,1,0,16,8.2,0.9565,0.0435
50,ATT000050,2,20250801,21,20,1,0,7,0.0,0.9524,0.0476
51,ATT000051,2,20250901,22,21,1,1,9,2.4,0.9545,0.0455
52,ATT000052,2,20251001,23,23,0,0,6,7.5,1.0,0.0
53,ATT000053,2,20251101,20,15,5,0,8,1.6,0.75,0.25
54,ATT000054,2,20251201,23,18,5,0,8,3.3,0.7826,0.2174
55,ATT000055,2,20260101,22,20,2,0,10,0.0,0.9091,0.0909
56,ATT000056,2,20260201,20,19,1,1,8,0.8,0.95,0.05
57,ATT000057,2,20260301,22,20,2,1,12,2.4,0.9091,0.0909
58,ATT000058,2,20260401,22,22,0,0,8,0.0,1.0,0.0
59,ATT000059,2,20260501,21,19,2,0,3,1.4,0.9048,0.0952
60,ATT000060,2,20260601,22,22,0,0,8,4.2,1.0,0.0
61,ATT000061,3,20240101,23,22,1,1,17,7.9,0.9565,0.0435
62,ATT000062,3,20240201,21,19,2,0,16,5.8,0.9048,0.0952
63,ATT000063,3,20240301,21,19,2,3,15,2.7,0.9048,0.0952
64,ATT000064,3,20240401,22,19,3,1,13,0.0,0.8636,0.1364
65,ATT000065,3,20240501,23,21,2,0,19,6.1,0.913,0.087
66,ATT000066,3,20240601,20,18,2,3,14,6.8,0.9,0.1
67,ATT000067,3,20240701,23,23,0,1,20,0.0,1.0,0.0
68,ATT000068,3,20240801,22,21,1,0,14,5.9,0.9545,0.0455
69,ATT000069,3,20240901,21,18,3,0,16,5.5,0.8571,0.1429
70,ATT000070,3,20241001,23,22,1,1,18,7.9,0.9565,0.0435
71,ATT000071,3,20241101,21,19,2,1,16,5.3,0.9048,0.0952
