leave_key,leave_id,employee_key,leave_start_date_key,leave_end_date_key,leave_type,leave_days,leave_status,leave_year
1,LEV000002,1,20250601,20250601,Annual,1,Approved,2025
2,LEV000001,1,20250825,20250830,Annual,6,Approved,2025
3,LEV000004,1,20260128,20260201,Sick,5,Approved,2026
4,LEV000003,1,20260426,20260504,Annual,9,Approved,2026
5,LEV000005,2,20240922,20240924,Other,3,Approved,2024
6,LEV000006,2,20250510,20250512,Annual,3,Approved,2025
7,LEV000007,2,20250824,20250825,Sick,2,Approved,2025
8,LEV000008,2,20260107,20260107,Sick,1,Approved,2026
9,LEV000010,3,20240609,20240614,Annual,6,Approved,2024
10,LEV000009,3,20240702,20240711,Annual,10,Approved,2024
11,LEV000011,3,20240725,20240728,Annual,4,Approved,2024
12,LEV000012,3,20250907,20250908,Annual,2,Pending,2025
13,LEV000013,3,20251208,20251212,Sick,5,Approved,2025
14,LEV000014,3,20260205,20260213,Annual,9,Approved,2026
15,LEV000015,4,20240322,20240325,Annual,4,Approved,2024
16,LEV000016,4,20240721,20240723,Annual,3,Approved,2024
17,LEV000017,4,20241029,20241106,Annual,9,Approved,2024
18,LEV000020,4,20250216,20250216,Annual,1,Approved,2025
19,LEV000019,4,20250904,20250910,Annual,7,Approved,2025
20,LEV000018,4,20251018,20251025,Annual,8,Approved,2025
21,LEV000022,4,20260203,20260210,Annual,8,Approved,2026
22,LEV000021,4,20260219,20260223,Annual,5,Approved,2026
23,LEV000023,5,20240513,20240516,Annual,4,Approved,2024
24,LEV000025,5,20250319,20250327,Annual,9,Approved,2025
25,LEV000026,5,20250510,20250511,Sick,2,Pending,2025
26,LEV000024,5,20251207,20251207,Sick,1,Pending,2025
27,LEV000029,6,20240323,20240327,Annual,5,Approved,2024
28,LEV000028,6,20240703,20240708,Annual,6,Approved,2024
29,LEV000027,6,20241010,20241011,Annual,2,Approved,2024
30,LEV000030,6,20250220,20250223,Sick,4,Pending,2025
31,LEV000031,6,20250220,20250220,Annual,1,Approved,2025
32,LEV000035,6,20260129,20260204,Annual,7,Approved,2026
33,LEV000034,6,20260317,20260326,Annual,10,Approved,2026
34,LEV000032,6,20260515,20260515,Sick,1,Approved,2026
35,LEV000033,6,20260604,20260608,Annual,5,Approved,2026
36,LEV000036,7,20240606,20240611,Annual,6,Approved,2024
37,LEV000039,7,20260219,20260221,Annual,3,Approved,2026
38,LEV000037,7,20260418,20260421,Sick,4,Approved,2026
39,LEV000038,7,20260418,20260424,Annual,7,Approved,2026
40,LEV000041,8,20240319,20240320,Sick,2,Approved,2024
41,LEV000040,8,20240906,20240911,Annual,6,Approved,2024
42,LEV000042,8,20250325,20250329,Sick,5,Approved,2025
43,LEV000043,8,20250924,20250925,Sick,2,Pending,2025
44,LEV000044,8,20251230,20251231,Annual,2,Approved,2025
45,LEV000046,8,20260506,20260508,Sick,3,Approved,2026
46,LEV000045,8,20260629,20260629,Sick,1,Approved,2026
47,LEV000047,9,20240102,20240103,Unpaid,2,Approved,2024
48,LEV000049,9,20240124,20240130,Annual,7,Approved,2024
49,LEV000048,9,20240129,20240129,Unpaid,1,Approved,2024
50,LEV000053,10,20260121,20260124,Annual,4,Approved,2026
51,LEV000050,10,20260420,20260425,Annual,6,Approved,2026
52,LEV000051,10,20260522,20260528,Annual,7,Approved,2026
53,LEV000054,10,20260621,20260625,Annual,5,Approved,2026
54,LEV000052,10,20260623,20260630,Maternity,8,Approved,2026
55,LEV000055,11,20241224,20241228,Unpaid,5,Approved,2024
56,LEV000056,11,20251029,20251107,Annual,10,Approved,2025
57,LEV000057,11,20260106,20260107,Annual,2,Approved,2026
58,LEV000058,11,20260604,20260611,Annual,8,Approved,2026
59,LEV000059,12,20240202,20240206,Annual,5,Approved,2024
60,LEV000060,12,20240726,20240803,Annual,9,Approved,2024
61,LEV000062,12,20250126,20250126,Annual,1,Approved,2025
62,LEV000065,12,20250309,20250309,Sick,1,Approved,2025
63,LEV000064,12,20250716,20250730,Paternity,15,Approved,2025
64,LEV000063,12,20250724,20250806,Maternity,14,Approved,2025
65,LEV000061,12,20250824,20250828,Sick,5,Approved,2025
66,LEV000066,12,20260216,20260225,Annual,10,Approved,2026
67,LEV000067,13,20240503,20240507,Annual,5,Approved,2024
68,LEV000070,13,20250109,20250115,Annual,7,Approved,2025
69,LEV000069,13,20250226,20250301,Sick,4,Approved,2025
70,LEV000071,13,20250312,20250321,Annual,10,Approved,2025
71,LEV000068,13,20250620,20250623,Sick,4,Rejected,2025
72,LEV000074,13,20260105,20260111,Annual,7,Approved,2026
73,LEV000073,13,20260213,20260216,Annual,4,Approved,2026
74,LEV000072,13,20260606,20260613,Annual,8,Approved,2026
75,LEV000075,14,20240103,20240109,Annual,7,Approved,2024
76,LEV000076,14,20240315,20240316,Sick,2,Approved,2024
77,LEV000077,14,20251115,20251116,Annual,2,Approved,2025
78,LEV000078,14,20260218,20260513,Maternity,85,Approved,2026
79,LEV000079,14,20260514,20260516,Sick,3,Approved,2026
80,LEV000080,15,20250906,20250906,Annual,1,Approved,2025
81,LEV000081,15,20251004,20251005,Annual,2,Approved,2025
82,LEV000082,16,20260315,20260316,Sick,2,Approved,2026
83,LEV000083,17,20240330,20240331,Annual,2,Approved,2024
84,LEV000084,17,20240921,20241121,Maternity,62,Approved,2024
85,LEV000085,17,20250820,20250823,Sick,4,Approved,2025
86,LEV000086,17,20260217,20260223,Unpaid,7,Approved,2026
87,LEV000087,17,20260531,20260602,Annual,3,Approved,2026
88,LEV000088,17,20260602,20260603,Unpaid,2,Approved,2026
89,LEV000090,18,20240110,20240111,Annual,2,Approved,2024
90,LEV000092,18,20240126,20240204,Annual,10,Approved,2024
91,LEV000093,18,20240403,20240405,Unpaid,3,Approved,2024
92,LEV000091,18,20240414,20240420,Annual,7,Approved,2024
93,LEV000089,18,20240424,20240425,Paternity,2,Approved,2024
94,LEV000094,19,20240902,20240911,Annual,10,Approved,2024
95,LEV000097,19,20251013,20251013,Sick,1,Approved,2025
96,LEV000095,19,20251127,20251203,Annual,7,Approved,2025
97,LEV000096,19,20251231,20251231,Annual,1,Approved,2025
98,LEV000098,19,20260127,20260416,Maternity,80,Approved,2026
99,LEV000099,19,20260314,20260316,Sick,3,Approved,2026
100,LEV000100,19,20260420,20260420,Annual,1,Approved,2026
101,LEV000101,19,20260621,20260626,Annual,6,Approved,2026
102,LEV000102,20,20240223,20240223,Annual,1,Approved,2024
103,LEV000103,20,20260419,20260419,Sick,1,Approved,2026
104,LEV000104,21,20240125,20240202,Annual,9,Approved,2024
105,LEV000105,21,20250620,20250627,Annual,8,Approved,2025
106,LEV000106,21,20260217,20260217,Annual,1,Approved,2026
107,LEV000107,21,20260316,20260322,Annual,7,Approved,2026
108,LEV000108,21,20260327,20260327,Annual,1,Approved,2026
109,LEV000109,21,20260404,20260405,Annual,2,Approved,2026
110,LEV000111,22,20240419,20240422,Annual,4,Approved,2024
111,LEV000110,22,20240428,20240429,Sick,2,Approved,2024
112,LEV000112,22,20240831,20240909,Annual,10,Approved,2024
113,LEV000114,22,20250103,20250109,Annual,7,Pending,2025
114,LEV000113,22,20250914,20251111,Paternity,59,Rejected,2025
115,LEV000115,22,20251213,20251219,Annual,7,Approved,2025
116,LEV000116,22,20260304,20260308,Annual,5,Approved,2026
117,LEV000117,23,20241006,20241010,Sick,5,Approved,2024
118,LEV000118,23,20241210,20241213,Annual,4,Approved,2024
119,LEV000120,23,20250903,20250909,Annual,7,Pending,2025
120,LEV000122,23,20250904,20250905,Sick,2,Approved,2025
121,LEV000121,23,20250915,20250924,Annual,10,Approved,2025
122,LEV000119,23,20251227,20251231,Unpaid,5,Approved,2025
123,LEV000123,23,20260121,20260121,Annual,1,Approved,2026
124,LEV000125,23,20260418,20260421,Sick,4,Approved,2026
125,LEV000124,23,20260618,20260627,Annual,10,Approved,2026
126,LEV000126,24,20251210,20251214,Annual,5,Approved,2025
127,LEV000127,24,20260112,20260112,Annual,1,Approved,2026
128,LEV000129,24,20260210,20260306,Maternity,25,Approved,2026
129,LEV000128,24,20260627,20260627,Annual,1,Approved,2026
130,LEV000131,25,20240117,20240123,Unpaid,7,Approved,2024
131,LEV000130,25,20240123,20240126,Annual,4,Approved,2024
132,LEV000134,26,20240106,20240107,Annual,2,Approved,2024
133,LEV000133,26,20240415,20240420,Annual,6,Approved,2024
134,LEV000132,26,20240512,20240513,Unpaid,2,Approved,2024
135,LEV000135,26,20240727,20240905,Maternity,41,Approved,2024
136,LEV000137,26,20250122,20250122,Sick,1,Approved,2025
137,LEV000136,26,20250214,20250217,Annual,4,Approved,2025
138,LEV000138,26,20251207,20251215,Annual,9,Rejected,2025
139,LEV000139,26,20260217,20260220,Annual,4,Approved,2026
140,LEV000140,26,20260611,20260619,Annual,9,Approved,2026
141,LEV000141,27,20240309,20240309,Other,1,Approved,2024
142,LEV000142,27,20241225,20241228,Annual,4,Approved,2024
143,LEV000144,27,20251109,20251113,Annual,5,Approved,2025
144,LEV000143,27,20251128,20251201,Sick,4,Approved,2025
145,LEV000145,27,20260109,20260324,Paternity,75,Approved,2026
146,LEV000146,28,20260514,20260518,Sick,5,Approved,2026
147,LEV000148,29,20240321,20240323,Sick,3,Approved,2024
148,LEV000147,29,20240609,20240613,Sick,5,Approved,2024
149,LEV000149,29,20241225,20241229,Sick,5,Pending,2024
150,LEV000152,29,20260109,20260111,Annual,3,Approved,2026
151,LEV000151,29,20260112,20260115,Annual,4,Approved,2026
152,LEV000150,29,20260130,20260202,Sick,4,Approved,2026
153,LEV000153,29,20260202,20260202,Sick,1,Rejected,2026
154,LEV000154,30,20240104,20240109,Annual,6,Approved,2024
