payroll_key,payroll_id,employee_key,pay_period_key,annual_salary,monthly_salary,bonus_amount,pay_grade,salary_band,salary_band_sort_order,currency
1,PAY000001,1,20240101,57500,4791.67,0.0,G5,50K-65K,4,GBP
2,PAY000002,1,20240201,57500,4791.67,0.0,G5,50K-65K,4,GBP
3,PAY000003,1,20240301,57500,4791.67,0.0,G5,50K-65K,4,GBP
4,PAY000004,1,20240401,57500,4791.67,0.0,G5,50K-65K,4,GBP
5,PAY000005,1,20240501,57500,4791.67,0.0,G5,50K-65K,4,GBP
6,PAY000006,1,20240601,57500,4791.67,0.0,G5,50K-65K,4,GBP
7,PAY000007,1,20240701,57500,4791.67,0.0,G5,50K-65K,4,GBP
8,PAY000008,1,20240801,57500,4791.67,0.0,G5,50K-65K,4,GBP
9,PAY000009,1,20240901,57500,4791.67,0.0,G5,50K-65K,4,GBP
10,PAY000010,1,20241001,57500,4791.67,0.0,G5,50K-65K,4,GBP
11,PAY000011,1,20241101,57500,4791.67,0.0,G5,50K-65K,4,GBP
12,PAY000012,1,20241201,57500,4791.67,0.0,G5,50K-65K,4,GBP
13,PAY000013,1,20250101,57500,4791.67,0.0,G5,50K-65K,4,GBP
14,PAY000014,1,20250201,57500,4791.67,0.0,G5,50K-65K,4,GBP
15,PAY000015,1,20250301,57500,4791.67,0.0,G5,50K-65K,4,GBP
16,PAY000016,1,20250401,57500,4791.67,0.0,G5,50K-65K,4,GBP
17,PAY000017,1,20250501,57500,4791.67,0.0,G5,50K-65K,4,GBP
18,PAY000018,1,20250601,57500,4791.67,2876.36,G5,50K-65K,4,GBP
19,PAY000019,1,20250701,57500,4791.67,0.0,G5,50K-65K,4,GBP
20,PAY000020,1,20250801,57500,4791.67,507.24,G5,50K-65K,4,GBP
21,PAY000021,1,20250901,57500,4791.67,0.0,G5,50K-65K,4,GBP
22,PAY000022,1,20251001,57500,4791.67,0.0,G5,50K-65K,4,GBP
23,PAY000023,1,20251101,57500,4791.67,0.0,G5,50K-65K,4,GBP
24,PAY000024,1,20251201,57500,4791.67,1053.51,G5,50K-65K,4,GBP
25,PAY000025,1,20260101,57500,4791.67,0.0,G5,50K-65K,4,GBP
26,PAY000026,1,20260201,57500,4791.67,0.0,G5,50K-65K,4,GBP
27,PAY000027,1,20260301,57500,4791.67,0.0,G5,50K-65K,4,GBP
28,PAY000028,1,20260401,57500,4791.67,0.0,G5,50K-65K,4,GBP
29,PAY000029,1,20260501,57500,4791.67,2189.79,G5,50K-65K,4,GBP
30,PAY000030,1,20260601,57500,4791.67,0.0,G5,50K-65K,4,GBP
31,PAY000031,2,20240101,100000,8333.33,0.0,G7,100K+,7,GBP
32,PAY000032,2,20240201,100000,8333.33,0.0,G7,100K+,7,GBP
33,PAY000033,2,20240301,100000,8333.33,0.0,G7,100K+,7,GBP
34,PAY000034,2,20240401,100000,8333.33,0.0,G7,100K+,7,GBP
35,PAY000035,2,20240501,100000,8333.33,0.0,G7,100K+,7,GBP
36,PAY000036,2,20240601,100000,8333.33,0.0,G7,100K+,7,GBP
37,PAY000037,2,20240701,100000,8333.33,2882.79,G7,100K+,7,GBP
38,PAY000038,2,20240801,100000,8333.33,0.0,G7,100K+,7,GBP
39,PAY000039,2,20240901,100000,8333.33,0.0,G7,100K+,7,GBP
40,PAY000040,2,20241001,100000,8333.33,0.0,G7,100K+,7,GBP
41,PAY000041,2,20241101,100000,8333.33,0.0,G7,100K+,7,GBP
42,PAY000042,2,20241201,100000,8333.33,0.0,G7,100K+,7,GBP
43,PAY000043,2,20250101,100000,8333.33,0.0,G7,100K+,7,GBP
44,PAY000044,2,20250201,100000,8333.33,1086.9,G7,100K+,7,GBP
45,PAY000045,2,20250301,100000,8333.33,0.0,G7,100K+,7,GBP
46,PAY000046,2,20250401,100000,8333.33,0.0,G7,100K+,7,GBP
47,PAY000047,2,20250501,100000,8333.33,0.0,G7,100K+,7,GBP
48,PAY000048,2,20250601,100000,8333.33,0.0,G7,100K+,7,GBP
49,PAY000049,2,20250701,100000,8333.33,0.0,G7,100K+,7,GBP
50,PAY000050,2,20250801,100000,8333.33,0.0,G7,100K+,7,GBP
51,PAY000051,2,20250901,100000,8333.33,0.0,G7,100K+,7,GBP
52,PAY000052,2,20251001,100000,8333.33,0.0,G7,100K+,7,GBP
53,PAY000053,2,20251101,100000,8333.33,0.0,G7,100K+,7,GBP
54,PAY000054,2,20251201,100000,8333.33,1038.82,G7,100K+,7,GBP
55,PAY000055,2,20260101,100000,8333.33,0.0,G7,100K+,7,GBP
56,PAY000056,2,20260201,100000,8333.33,0.0,G7,100K+,7,GBP
57,PAY000057,2,20260301,100000,8333.33,2538.83,G7,100K+,7,GBP
58,PAY000058,2,20260401,100000,8333.33,0.0,G7,100K+,7,GBP
59,PAY000059,2,20260501,100000,8333.33,0.0,G7,100K+,7,GBP
60,PAY000060,2,20260601,100000,8333.33,0.0,G7,100K+,7,GBP
61,PAY000061,3,20240101,33500,2791.67,918.65,G4,30K-40K,2,GBP
62,PAY000062,3,20240201,33500,2791.67,0.0,G4,30K-40K,2,GBP
63,PAY000063,3,20240301,33500,2791.67,0.0,G4,30K-40K,2,GBP
64,PAY000064,3,20240401,33500,2791.67,0.0,G4,30K-40K,2,GBP
65,PAY000065,3,20240501,33500,2791.67,0.0,G4,30K-40K,2,GBP
66,PAY000066,3,20240601,33500,2791.67,0.0,G4,30K-40K,2,GBP
67,PAY000067,3,20240701,33500,2791.67,0.0,G4,30K-40K,2,GBP
68,PAY000068,3,20240801,33500,2791.67,0.0,G4,30K-40K,2,GBP
69,PAY000069,3,20240901,33500,2791.67,0.0,G4,30K-40K,2,GBP
70,PAY000070,3,20241001,33500,2791.67,0.0,G4,30K-40K,2,GBP
71,PAY000071,3,20241101,33500,2791.67,0.0,G4,30K-40K,2,GBP
72,PAY000072,3,20241201,33500,2791.67,0.0,G4,30K-40K,2,GBP
73,PAY000073,3,20250101,33500,2791.67,0.0,G4,30K-40K,2,GBP
74,PAY000074,3,20250201,33500,2791.67,0.0,G4,30K-40K,2,GBP
75,PAY000075,3,20250301,33500,2791.67,0.0,G4,30K-40K,2,GBP
