performance_key,performance_id,employee_key,review_year,review_period,performance_rating,potential_rating,promotion_flag,manager_key
1,PERF000001,1,2024,Annual,4,5,0,51
2,PERF000002,1,2025,Annual,5,5,0,51
3,PERF000003,1,2025,Mid-Year,5,4,0,51
4,PERF000004,2,2024,Annual,4,4,0,
5,PERF000005,2,2025,Annual,4,4,0,
6,PERF000006,2,2025,Mid-Year,4,4,0,
7,PERF000007,3,2024,Annual,4,3,0,4
8,PERF000008,3,2025,Annual,4,4,0,4
9,PERF000009,3,2025,Mid-Year,4,4,1,4
10,PERF000010,4,2024,Annual,3,3,0,23
11,PERF000011,4,2025,Annual,3,3,0,23
12,PERF000012,4,2025,Mid-Year,3,2,0,23
13,PERF000013,5,2024,Annual,4,3,0,47
14,PERF000014,5,2024,Mid-Year,3,2,0,47
15,PERF000015,5,2025,Annual,3,4,0,47
16,PERF000016,5,2025,Mid-Year,3,3,0,47
17,PERF000017,6,2024,Annual,3,3,0,
18,PERF000018,6,2025,Annual,3,4,0,
19,PERF000019,7,2024,Annual,4,4,0,62
20,PERF000020,7,2025,Annual,4,4,0,62
21,PERF000021,7,2025,Mid-Year,3,3,0,62
22,PERF000022,8,2024,Annual,3,5,0,81
23,PERF000023,8,2025,Annual,4,4,0,81
24,PERF000024,10,2025,Annual,5,5,0,74
25,PERF000025,11,2024,Annual,2,2,0,38
26,PERF000026,11,2025,Annual,3,3,0,38
27,PERF000027,11,2025,Mid-Year,3,4,0,38
28,PERF000028,12,2024,Annual,5,5,0,59
29,PERF000029,12,2024,Mid-Year,3,4,0,59
30,PERF000030,12,2025,Annual,5,5,0,59
31,PERF000031,13,2024,Annual,3,3,0,69
32,PERF000032,13,2024,Mid-Year,2,1,0,69
33,PERF000033,13,2025,Annual,3,4,0,69
34,PERF000034,14,2024,Annual,4,3,0,53
35,PERF000035,14,2024,Mid-Year,5,5,0,53
36,PERF000036,14,2025,Annual,4,4,0,53
37,PERF000037,14,2025,Mid-Year,4,4,0,53
38,PERF000038,15,2025,Annual,3,3,0,74
39,PERF000039,16,2024,Annual,3,4,0,25
40,PERF000040,16,2025,Annual,4,5,1,25
41,PERF000041,17,2024,Annual,5,5,1,37
42,PERF000042,17,2025,Annual,5,5,1,37
43,PERF000043,19,2024,Annual,3,3,0,18
44,PERF000044,19,2025,Annual,3,4,0,18
45,PERF000045,19,2025,Mid-Year,3,3,0,18
46,PERF000046,20,2024,Annual,4,4,0,63
47,PERF000047,20,2024,Mid-Year,4,4,1,63
48,PERF000048,20,2025,Annual,5,4,1,63
