recruitment_key,candidate_id,requisition_id,department_key,job_role_key,location_key,application_date_key,interview_date_key,offer_date_key,hire_date_key,recruitment_source,status,hired_employee_key,time_to_hire_days
1,CAND000136,REQ9967,7,29,5,20231116,20231128,20231208,20240123,Campus,Hired,570,68
2,CAND000027,REQ7593,8,4,5,20231128,20231210,20231218,20240201,Job Board,Hired,99,65
3,CAND000067,REQ6405,2,22,2,20231202,20231207,20231212,20240214,Job Board,Hired,298,74
4,CAND000081,REQ5686,2,22,4,20231213,20231231,20240113,20240221,Referral,Hired,372,70
5,CAND000079,REQ1912,5,14,2,20231227,20240112,20240120,20240123,Agency,Hired,369,27
6,CAND000045,REQ4388,8,4,5,20231231,20240112,20240123,20240203,Agency,Hired,168,34
7,CAND000208,REQ8594,1,19,2,20240102,,,,LinkedIn,Rejected,,
8,CAND000424,REQ9406,7,29,6,20240102,20240119,20240127,,Campus,Offered,,
9,CAND000355,REQ9951,2,25,1,20240105,20240129,,,Job Board,Interviewed,,
10,CAND000478,REQ9741,6,3,5,20240106,20240112,,,Agency,Interviewed,,
11,CAND000214,REQ4155,8,8,6,20240107,,,,LinkedIn,Rejected,,
12,CAND000131,REQ3024,6,5,2,20240108,20240122,20240125,20240312,Referral,Hired,547,64
13,CAND000650,REQ3808,4,39,3,20240108,20240131,20240204,,Job Board,Offered,,
14,CAND000377,REQ8512,1,19,5,20240110,,,,Job Board,Rejected,,
15,CAND000541,REQ7871,8,4,5,20240110,,,,Campus,Rejected,,
16,CAND000100,REQ8842,2,24,5,20240111,20240125,20240131,20240214,Agency,Hired,455,34
17,CAND000263,REQ5252,5,13,4,20240111,20240125,,,Agency,Interviewed,,
18,CAND000366,REQ1916,4,39,1,20240114,20240130,,,Job Board,Interviewed,,
19,CAND000694,REQ3925,6,1,1,20240114,20240128,,,Company Website,Interviewed,,
20,CAND000287,REQ3986,7,27,6,20240115,,,,Job Board,Applied,,
21,CAND000106,REQ7614,3,33,3,20240118,20240123,20240202,20240220,Referral,Hired,466,33
22,CAND000148,REQ2280,6,5,5,20240118,20240203,20240207,,Campus,Offered,,
23,CAND000538,REQ7885,8,8,3,20240122,,,,Referral,Rejected,,
24,CAND000361,REQ2968,4,39,3,20240123,,,,Job Board,Rejected,,
25,CAND000474,REQ6385,3,35,2,20240123,,,,Job Board,Rejected,,
26,CAND000005,REQ4687,7,27,2,20240124,20240201,20240209,20240315,Referral,Hired,23,51
27,CAND000518,REQ6808,7,30,5,20240127,20240214,,,LinkedIn,Interviewed,,
28,CAND000340,REQ5322,7,28,3,20240131,,,,Job Board,Rejected,,
29,CAND000341,REQ3219,7,27,1,20240201,20240222,20240227,,Agency,Offered,,
30,CAND000411,REQ1782,6,3,1,20240203,,,,LinkedIn,Rejected,,
31,CAND000707,REQ1075,7,27,5,20240203,20240213,20240223,,Referral,Offered,,
32,CAND000061,REQ6007,7,27,5,20240204,20240213,20240217,20240408,Referral,Hired,247,64
33,CAND000351,REQ7386,6,3,3,20240204,20240211,20240218,,Referral,Offered,,
34,CAND000380,REQ5018,7,28,1,20240206,20240215,,,Company Website,Interviewed,,
35,CAND000618,REQ7941,5,14,6,20240206,,,,Campus,Rejected,,
36,CAND000002,REQ6642,2,22,1,20240207,20240218,20240222,20240402,LinkedIn,Hired,11,55
37,CAND000716,REQ7388,4,40,5,20240207,,,,Company Website,Applied,,
38,CAND000564,REQ6668,6,7,3,20240208,20240222,20240301,,LinkedIn,Offered,,
39,CAND000586,REQ9587,2,25,6,20240208,,,,Agency,Rejected,,
40,CAND000068,REQ9847,2,23,1,20240210,20240216,20240225,20240401,LinkedIn,Hired,307,51
41,CAND000560,REQ2747,5,14,5,20240211,,,,Job Board,Rejected,,
42,CAND000492,REQ1016,4,40,6,20240214,,,,Referral,Rejected,,
43,CAND000567,REQ6820,1,19,6,20240214,20240307,,,LinkedIn,Interviewed,,
44,CAND000615,REQ1036,7,28,4,20240215,,,,LinkedIn,Rejected,,
45,CAND000077,REQ3377,2,24,1,20240216,20240301,20240308,20240320,Job Board,Hired,363,33
46,CAND000684,REQ9849,2,22,2,20240216,,,,Job Board,Rejected,,
47,CAND000337,REQ4656,5,13,3,20240217,20240224,20240227,,Agency,Offered,,
48,CAND000212,REQ5580,7,29,5,20240218,20240309,20240315,,Company Website,Offered,,
49,CAND000513,REQ1554,3,31,1,20240218,,,,Referral,Applied,,
50,CAND000625,REQ8027,2,24,6,20240218,,,,Referral,Rejected,,
51,CAND000477,REQ4439,7,27,1,20240219,20240226,,,Agency,Interviewed,,
52,CAND000190,REQ3173,8,8,5,20240220,,,,LinkedIn,Rejected,,
53,CAND000631,REQ4936,7,30,2,20240220,20240229,,,LinkedIn,Interviewed,,
54,CAND000359,REQ5273,7,30,1,20240221,,,,Referral,Rejected,,
55,CAND000570,REQ8946,3,32,5,20240222,,,,Company Website,Rejected,,
56,CAND000059,REQ2376,2,24,5,20240223,20240229,20240305,20240326,Agency,Hired,230,32
57,CAND000494,REQ2577,3,33,6,20240223,20240316,,,Job Board,Interviewed,,
58,CAND000329,REQ2892,1,18,2,20240225,,,,Company Website,Rejected,,
59,CAND000176,REQ8732,4,37,5,20240226,,,,LinkedIn,Rejected,,
60,CAND000307,REQ8762,2,25,4,20240304,,,,Job Board,Rejected,,
61,CAND000245,REQ8333,2,25,1,20240305,,,,Company Website,Applied,,
62,CAND000415,REQ5936,8,4,3,20240306,,,,LinkedIn,Rejected,,
63,CAND000632,REQ6864,8,6,6,20240306,,,,LinkedIn,Rejected,,
64,CAND000004,REQ4455,1,17,2,20240307,20240327,20240405,20240409,Campus,Hired,16,33
65,CAND000283,REQ9792,3,33,1,20240308,,,,Agency,Rejected,,
66,CAND000166,REQ7677,1,19,6,20240309,20240319,,,Campus,Interviewed,,
67,CAND000119,REQ4847,4,37,5,20240310,20240318,20240326,20240523,Campus,Hired,522,74
68,CAND000125,REQ3772,3,31,6,20240310,20240316,20240319,20240517,LinkedIn,Hired,535,68
69,CAND000629,REQ5809,1,18,4,20240311,20240324,,,LinkedIn,Interviewed,,
70,CAND000697,REQ4472,7,30,3,20240311,,,,Job Board,Rejected,,
71,CAND000171,REQ1981,4,37,5,20240312,,,,Job Board,Rejected,,
72,CAND000396,REQ3776,6,7,1,20240312,,,,Agency,Rejected,,
73,CAND000317,REQ6274,7,29,5,20240317,20240329,,,Referral,Interviewed,,
74,CAND000685,REQ7677,2,25,3,20240318,,,,Job Board,Rejected,,
75,CAND000015,REQ4787,8,8,6,20240319,20240407,20240411,20240506,Job Board,Hired,60,48
76,CAND000588,REQ2602,2,24,5,20240319,20240407,,,Agency,Interviewed,,
77,CAND000168,REQ6672,7,30,1,20240320,20240404,,,Job Board,Interviewed,,
78,CAND000573,REQ1993,5,13,5,20240324,20240331,,,LinkedIn,Interviewed,,
79,CAND000678,REQ6311,7,29,5,20240325,20240417,20240429,,Company Website,Offered,,
80,CAND000111,REQ4555,8,9,5,20240326,20240415,20240424,20240417,Job Board,Hired,481,22
81,CAND000737,REQ6408,7,28,4,20240331,,,,Campus,Rejected,,
82,CAND000105,REQ3766,2,24,4,20240401,20240407,20240416,20240609,Job Board,Hired,461,69
83,CAND000301,REQ4652,3,32,5,20240402,20240415,20240419,,Job Board,Offered,,
84,CAND000155,REQ3983,1,19,3,20240403,,,,Agency,Rejected,,
85,CAND000574,REQ4156,8,4,3,20240403,,,,Job Board,Applied,,
86,CAND000139,REQ3520,1,17,1,20240404,20240422,20240429,20240617,Job Board,Hired,578,74
87,CAND000732,REQ3341,7,29,5,20240405,,,,Company Website,Applied,,
88,CAND000256,REQ3257,8,8,6,20240407,20240415,,,Company Website,Interviewed,,
89,CAND000551,REQ3498,4,39,5,20240407,,,,Referral,Applied,,
90,CAND000157,REQ3880,3,34,3,20240408,20240414,,,Referral,Interviewed,,
91,CAND000553,REQ5943,1,17,1,20240408,,,,Referral,Applied,,
92,CAND000386,REQ9706,2,22,6,20240409,,,,Job Board,Rejected,,
93,CAND000014,REQ3172,8,9,2,20240410,20240420,20240425,20240610,Agency,Hired,58,61
94,CAND000434,REQ3249,1,20,5,20240410,20240416,,,Job Board,Interviewed,,
95,CAND000445,REQ8042,8,4,1,20240411,20240502,,,Referral,Interviewed,,
96,CAND000347,REQ8185,4,39,1,20240412,,,,Job Board,Rejected,,
