training_key,training_id,employee_key,assigned_date_key,completion_date_key,course_name,course_category,completion_status,completion_flag,training_hours,training_score
1,TRN000001,1,20240703,,First Line Manager Training,Leadership,Overdue,0,14.8,
2,TRN000002,1,20250805,20250901,Budget Management,Finance,Completed,1,15.0,88.4
3,TRN000005,2,20241208,20241216,Presentation Skills,Soft Skills,Completed,1,1.7,60.3
4,TRN000003,2,20250130,20250223,Power BI Fundamentals,Technical,Completed,1,13.7,81.8
5,TRN000004,2,20250424,,Stakeholder Management,Soft Skills,Not Started,0,7.0,
6,TRN000007,3,20240624,20240710,Workplace Health and Safety,Compliance,Completed,1,2.9,65.2
7,TRN000009,3,20240821,20240925,Leading High Performing Teams,Leadership,Completed,1,4.5,72.3
8,TRN000008,3,20250815,,Stakeholder Management,Soft Skills,In Progress,0,3.9,
9,TRN000006,3,20251205,20251222,Cloud Data Fundamentals,Technical,Completed,1,2.1,81.1
10,TRN000010,4,20240118,,Power BI Fundamentals,Technical,Not Started,0,5.6,
11,TRN000012,4,20250419,20250517,Budget Management,Finance,Completed,1,13.4,71.8
12,TRN000011,4,20260402,20260417,Data Protection Training,Compliance,Completed,1,12.4,84.9
13,TRN000013,5,20250919,,Information Security Awareness,Compliance,In Progress,0,4.3,
14,TRN000016,6,20240309,,Budget Management,Finance,Overdue,0,12.8,
15,TRN000015,6,20241205,20241222,Employee Relations Essentials,HR,Completed,1,9.1,78.4
16,TRN000014,6,20250615,,SQL for Analysts,Technical,Not Started,0,2.0,
17,TRN000017,6,20250930,20251027,Inclusive Hiring,HR,Completed,1,12.4,79.1
18,TRN000018,6,20260320,20260330,Presentation Skills,Soft Skills,Completed,1,9.9,86.2
19,TRN000019,7,20240205,,Communication Skills,Soft Skills,Overdue,0,1.1,
20,TRN000020,7,20240906,,Coaching Skills,Leadership,In Progress,0,1.3,
21,TRN000021,7,20250926,20251012,First Line Manager Training,Leadership,Completed,1,2.2,81.2
22,TRN000024,8,20240322,,Python for Data Analysis,Technical,Overdue,0,7.1,
23,TRN000022,8,20240816,20240823,Employee Relations Essentials,HR,Completed,1,14.7,71.9
24,TRN000026,8,20240928,20241103,SQL for Analysts,Technical,Completed,1,14.4,81.9
25,TRN000023,8,20250314,20250403,Inclusive Hiring,HR,Completed,1,9.9,87.0
26,TRN000025,8,20251121,,Budget Management,Finance,Not Started,0,11.0,
27,TRN000028,9,20240125,,Coaching Skills,Leadership,In Progress,0,3.0,
28,TRN000029,9,20240127,20240210,Workplace Health and Safety,Compliance,Completed,1,8.7,45.0
29,TRN000030,9,20240128,20240203,SQL for Analysts,Technical,Completed,1,3.9,78.8
30,TRN000027,9,20240209,20240210,Cloud Data Fundamentals,Technical,Completed,1,10.2,55.9
31,TRN000031,10,20250817,20250830,SQL for Analysts,Technical,Completed,1,5.6,94.0
32,TRN000032,10,20260602,20260616,Inclusive Hiring,HR,Completed,1,15.7,63.6
33,TRN000033,11,20260110,20260112,Communication Skills,Soft Skills,Completed,1,4.2,75.2
34,TRN000034,11,20260319,20260323,Communication Skills,Soft Skills,Completed,1,9.8,73.7
35,TRN000036,12,20250228,,Stakeholder Management,Soft Skills,In Progress,0,2.3,
36,TRN000035,12,20250519,20250616,Python for Data Analysis,Technical,Completed,1,12.8,78.4
37,TRN000038,13,20250312,20250414,Employee Relations Essentials,HR,Completed,1,3.8,80.2
38,TRN000037,13,20251222,,Data Protection Training,Compliance,Not Started,0,14.2,
39,TRN000039,13,20260401,20260422,Inclusive Hiring,HR,Completed,1,7.8,67.3
40,TRN000040,14,20241025,20241031,Stakeholder Management,Soft Skills,Completed,1,1.2,74.5
41,TRN000041,14,20250924,,Budget Management,Finance,Not Started,0,11.6,
42,TRN000042,14,20260604,,Coaching Skills,Leadership,Not Started,0,3.7,
