employee_id,age,gender,department,job_role,job_level,location,work_mode,tenure_years,annual_salary,salary_band,absence_rate,late_arrivals,training_hours,training_completion_flag,training_completion_rate,performance_rating,potential_rating,promotion_flag,attrition_flag
EMP0001,35,Female,Customer Support,Senior Support Specialist,Senior,London,Remote,8.3,57500,50K-65K,0.0913,37,29.8,1,0.5,5,4,0,0
EMP0002,42,Male,Sales,Sales Director,Director,Bristol,Hybrid,9.08,100000,100K+,0.0555,11,22.4,1,0.6667,4,4,0,0
EMP0003,39,Male,Operations,Operations Analyst,Mid,Bristol,Remote,3.13,33500,30K-40K,0.0832,23,13.4,1,0.75,4,4,1,0
EMP0004,44,Male,IT,Data Analyst,Mid,Leeds,Hybrid,6.66,35500,30K-40K,0.2043,47,31.4,1,0.6667,3,2,0,0
EMP0005,34,Male,Operations,Operations Analyst,Mid,Bristol,Office,2.75,38000,30K-40K,0.079,12,4.3,0,0.0,3,3,0,0
EMP0006,34,Female,Legal,Legal Manager,Manager,Leeds,Office,2.81,83500,80K-100K,0.0396,6,46.2,1,0.6,3,4,0,0
EMP0007,39,Male,Marketing,Senior Marketing Specialist,Senior,Birmingham,Hybrid,9.11,54500,50K-65K,0.1479,29,4.6,0,0.3333,3,3,0,0
EMP0008,41,Male,IT,Senior Data Engineer,Senior,London,Hybrid,4.16,72000,65K-80K,0.0522,15,57.1,1,0.6,4,4,0,0
EMP0009,33,Male,Sales,Senior Account Executive,Senior,Leeds,Hybrid,4.96,48500,40K-50K,0.1366,6,25.8,1,0.75,,,0,1
EMP0010,39,Female,HR,HR Advisor,Mid,Edinburgh,Remote,1.16,37500,30K-40K,0.0808,4,21.3,1,1.0,5,5,0,0
EMP0011,29,Male,Finance,Accounts Assistant,Junior,Birmingham,Remote,2.24,33500,30K-40K,0.0648,18,14.0,1,1.0,3,4,0,0
EMP0012,42,Female,Operations,Senior Operations Specialist,Senior,Leeds,Office,5.79,50000,50K-65K,0.115,33,15.1,1,0.5,5,5,0,0
EMP0013,32,Female,Legal,Legal Advisor,Mid,Edinburgh,Remote,9.33,38500,30K-40K,0.0636,12,25.8,1,0.6667,3,4,0,0
EMP0014,27,Female,Sales,Sales Development Representative,Junior,Leeds,Remote,3.95,25500,Under 30K,0.0444,5,16.5,0,0.3333,4,4,0,0
EMP0015,38,Female,HR,HR Advisor,Mid,Leeds,Hybrid,1.33,41500,40K-50K,0.0488,5,10.5,1,0.5,3,3,0,0
EMP0016,33,Female,Customer Support,Customer Support Advisor,Junior,Bristol,Remote,2.22,26500,Under 30K,0.0652,12,25.5,0,0.0,4,5,1,0
EMP0017,37,Female,Marketing,Marketing Assistant,Junior,Manchester,Hybrid,3.1,26000,Under 30K,0.1037,26,18.4,1,0.5,5,5,1,0
EMP0018,48,Female,Operations,Operations Assistant,Junior,Leeds,Remote,6.43,28000,Under 30K,0.0109,3,28.2,1,1.0,,,0,1
EMP0019,22,Male,Finance,Senior Finance Analyst,Senior,London,Hybrid,4.62,75000,65K-80K,0.2061,49,13.1,1,1.0,3,3,0,0
EMP0020,36,Male,Sales,Sales Manager,Manager,Leeds,Office,8.02,68500,65K-80K,0.0152,6,5.1,0,0.0,5,4,1,0
EMP0021,52,Male,Legal,Legal Assistant,Junior,Bristol,Hybrid,3.09,27000,Under 30K,0.0259,8,30.0,1,0.5,4,5,0,0
EMP0022,39,Male,Sales,Senior Account Executive,Senior,London,Remote,8.65,77500,65K-80K,0.0533,12,18.0,1,1.0,4,4,0,0
EMP0023,35,Male,Operations,Operations Assistant,Junior,Bristol,Office,2.29,29000,Under 30K,0.0957,18,25.3,1,0.75,5,5,0,0
EMP0024,42,Female,Operations,Operations Director,Director,Birmingham,Office,1.25,113500,100K+,0.0552,7,15.8,1,0.6667,4,4,0,0
EMP0025,36,Female,IT,Senior Data Engineer,Senior,Birmingham,Remote,5.72,62000,50K-65K,0.0685,17,34.3,1,0.75,5,5,0,0
EMP0026,29,Male,Sales,Sales Development Representative,Junior,Manchester,Hybrid,4.22,32000,30K-40K,0.1117,26,17.1,1,0.5,2,2,0,0
EMP0027,30,Male,Customer Support,Customer Support Specialist,Mid,Birmingham,Hybrid,4.88,30000,30K-40K,0.1775,31,18.6,1,1.0,4,4,0,0
EMP0028,33,Male,Marketing,Marketing Assistant,Junior,Birmingham,Office,0.21,29000,Under 30K,0.1703,2,24.1,1,0.5,,,0,0
EMP0029,50,Male,Legal,Legal Advisor,Mid,Bristol,Remote,5.47,38500,30K-40K,0.1072,24,9.0,1,0.5,3,2,0,1
EMP0030,36,Male,IT,Junior Software Developer,Junior,London,Remote,3.24,38500,30K-40K,0.0336,6,15.7,1,0.5,4,5,1,0
EMP0031,37,Male,Customer Support,Customer Support Specialist,Mid,Manchester,Hybrid,0.94,38000,30K-40K,0.1729,6,32.3,1,0.6667,3,4,0,0
EMP0032,41,Male,IT,Technology Director,Director,Birmingham,Hybrid,2.77,143500,100K+,0.0167,6,2.1,0,0.0,3,3,0,0
EMP0033,40,Female,Finance,Accounts Assistant,Junior,Leeds,Hybrid,0.37,28000,Under 30K,0.2045,11,9.2,1,1.0,,,0,0
EMP0034,40,Male,Operations,Senior Operations Specialist,Senior,Bristol,Hybrid,7.3,57500,50K-65K,0.1106,19,30.4,1,0.6667,2,3,0,0
EMP0035,36,Female,Customer Support,Customer Support Specialist,Mid,Birmingham,Hybrid,7.74,29500,Under 30K,0.0122,4,12.0,1,1.0,4,5,0,0
EMP0036,28,Male,Marketing,Marketing Manager,Manager,Manchester,Office,7.61,64000,50K-65K,0.0841,33,33.7,1,1.0,2,2,0,0
EMP0037,31,Female,Customer Support,Customer Support Specialist,Mid,Leeds,Hybrid,7.24,32500,30K-40K,0.2011,49,25.1,1,0.5,4,4,0,0
EMP0038,34,Male,Operations,Operations Assistant,Junior,Birmingham,Office,4.71,26000,Under 30K,0.0139,3,28.7,1,0.6667,4,4,0,0
EMP0039,36,Female,Marketing,Marketing Assistant,Junior,Leeds,Office,5.61,22500,Under 30K,0.0372,9,9.8,1,1.0,4,4,0,0
EMP0040,44,Female,Sales,Sales Executive,Mid,Leeds,Office,9.04,40000,40K-50K,0.1095,22,11.1,0,0.0,4,5,0,0
EMP0041,54,Female,IT,Data Analyst,Mid,Bristol,Office,7.98,49000,40K-50K,0.1347,29,20.9,1,0.8,2,2,0,0
EMP0042,22,Male,Sales,Sales Executive,Mid,Manchester,Office,9.32,37500,30K-40K,0.1702,52,7.2,1,1.0,2,3,0,0
EMP0043,38,Male,Legal,Legal Assistant,Junior,London,Remote,1.12,41000,40K-50K,0.0304,6,26.6,1,1.0,3,3,0,0
EMP0044,41,Female,Customer Support,Customer Support Specialist,Mid,Birmingham,Hybrid,2.72,36000,30K-40K,0.035,10,25.6,0,0.0,4,4,0,0
EMP0045,27,Female,Operations,Operations Assistant,Junior,Edinburgh,Office,5.11,29000,Under 30K,0.0735,14,29.7,1,1.0,3,2,0,0
EMP0046,38,Male,Finance,Accounts Assistant,Junior,Leeds,Office,2.78,32000,30K-40K,0.1007,22,4.6,1,1.0,4,4,1,0
EMP0047,29,Female,Finance,Accounts Assistant,Junior,Leeds,Office,8.57,31000,30K-40K,0.0599,17,31.5,1,0.75,3,3,0,0
EMP0048,37,Male,IT,Junior Software Developer,Junior,London,Office,0.57,41000,40K-50K,0.0298,1,52.6,1,0.6,2,2,0,1
EMP0049,42,Female,Sales,Sales Development Representative,Junior,Bristol,Hybrid,6.03,28500,Under 30K,0.0737,23,37.8,1,0.5,4,3,0,0
EMP0050,29,Female,Marketing,Marketing Assistant,Junior,Leeds,Remote,2.6,24500,Under 30K,0.0769,5,22.0,1,0.5,,,0,1
EMP0051,43,Female,Finance,Finance Manager,Manager,Manchester,Remote,7.56,75500,65K-80K,0.1278,32,12.7,1,1.0,4,3,0,0
EMP0052,31,Male,Operations,Operations Analyst,Mid,London,Remote,5.33,49000,40K-50K,0.0581,13,4.0,1,1.0,5,5,0,1
EMP0053,43,Female,Marketing,Marketing Assistant,Junior,London,Hybrid,6.52,33500,30K-40K,0.07,13,39.3,0,0.3333,5,5,0,0
EMP0054,45,Female,Customer Support,Senior Support Specialist,Senior,Edinburgh,Hybrid,0.65,48500,40K-50K,0.0401,5,15.4,1,1.0,3,4,0,0
EMP0055,41,Female,Finance,Accounts Assistant,Junior,Birmingham,Hybrid,6.45,26000,Under 30K,0.0323,9,25.4,0,0.0,3,3,0,0
EMP0056,37,Female,IT,Senior Data Engineer,Senior,Edinburgh,Hybrid,4.46,73500,65K-80K,0.1092,0,20.1,1,0.5,,,0,1
EMP0057,42,Male,IT,Senior Data Engineer,Senior,Manchester,Office,1.63,75500,65K-80K,0.043,8,19.8,1,0.5,2,1,0,0
EMP0058,28,Female,Sales,Senior Account Executive,Senior,Bristol,Office,2.05,66500,65K-80K,0.0702,18,21.0,1,0.5,2,3,0,0
EMP0059,34,Not disclosed,HR,HR Assistant,Junior,Leeds,Office,8.45,28500,Under 30K,0.0613,18,8.3,1,1.0,5,5,0,0
EMP0060,28,Other,Sales,Sales Executive,Mid,Manchester,Office,2.15,48000,40K-50K,0.1354,21,7.2,1,1.0,3,3,0,0
EMP0061,35,Female,IT,Junior Software Developer,Junior,London,Office,9.17,37500,30K-40K,0.1205,38,10.4,1,1.0,5,4,1,0
EMP0062,22,Female,Operations,Operations Analyst,Mid,Leeds,Hybrid,7.55,41000,40K-50K,0.0908,28,33.9,1,0.75,3,3,0,0
EMP0063,34,Female,Customer Support,Customer Experience Director,Director,Bristol,Office,6.8,108500,100K+,0.0349,9,20.6,1,0.6667,3,3,0,0
EMP0064,26,Male,Customer Support,Customer Support Specialist,Mid,Manchester,Office,4.23,39000,30K-40K,0.0827,24,35.3,1,0.5,4,4,0,0
EMP0065,28,Female,Sales,Sales Executive,Mid,London,Hybrid,7.56,46500,40K-50K,0.1044,25,5.0,0,0.0,4,3,0,0
EMP0066,27,Male,Customer Support,Customer Support Advisor,Junior,London,Office,1.54,31000,30K-40K,0.1377,24,32.2,1,0.5,5,5,0,0
EMP0067,30,Other,IT,Data Analyst,Mid,Edinburgh,Hybrid,5.92,41000,40K-50K,0.2733,9,4.5,0,0.0,,,0,1
EMP0068,31,Female,Sales,Sales Executive,Mid,Birmingham,Hybrid,6.5,38500,30K-40K,0.1724,43,4.6,1,1.0,3,3,0,0
EMP0069,41,Male,IT,Senior Data Engineer,Senior,London,Remote,2.44,60500,50K-65K,0.2356,13,10.9,0,0.0,,,0,1
EMP0070,34,Female,Customer Support,Customer Support Specialist,Mid,Birmingham,Office,4.86,35500,30K-40K,0.0216,8,8.4,1,0.5,3,3,0,0
EMP0071,31,Male,Marketing,Marketing Executive,Mid,Manchester,Office,5.84,37000,30K-40K,0.1402,15,7.2,1,0.5,5,5,0,1
EMP0072,28,Female,IT,Junior Software Developer,Junior,London,Office,0.55,34500,30K-40K,0.2216,14,14.5,0,0.0,3,3,0,1
EMP0073,35,Not disclosed,Legal,Legal Assistant,Junior,Leeds,Office,0.76,34500,30K-40K,0.1979,15,29.2,0,0.3333,3,3,0,0
EMP0074,46,Female,Sales,Sales Executive,Mid,Edinburgh,Office,1.75,48500,40K-50K,0.0147,2,11.0,1,0.5,3,3,0,0
EMP0075,41,Female,Marketing,Marketing Executive,Mid,Manchester,Office,5.33,46000,40K-50K,0.0812,25,20.2,1,0.6667,4,4,0,0
EMP0076,43,Female,Finance,Accounts Assistant,Junior,London,Hybrid,2.02,30500,30K-40K,0.1538,17,30.2,0,0.3333,,,0,1
EMP0077,45,Male,IT,Junior Software Developer,Junior,Manchester,Hybrid,7.36,34000,30K-40K,0.0765,23,17.2,1,1.0,3,3,0,0
EMP0078,40,Female,Marketing,Marketing Assistant,Junior,Birmingham,Office,0.34,26500,Under 30K,0.0555,5,19.4,0,0.0,,,0,0
EMP0079,46,Female,Operations,Senior Operations Specialist,Senior,Edinburgh,Hybrid,4.77,59000,50K-65K,0.0263,6,6.0,0,0.0,2,2,0,0
EMP0080,40,Male,Finance,Accounts Assistant,Junior,London,Hybrid,2.89,30500,30K-40K,0.0136,6,2.3,1,1.0,4,3,0,0
EMP0081,49,Male,Operations,Senior Operations Specialist,Senior,Manchester,Remote,7.85,55500,50K-65K,0.0186,1,25.2,0,0.3333,4,4,0,0
EMP0082,22,Male,Customer Support,Customer Support Specialist,Mid,Birmingham,Remote,1.19,40500,40K-50K,0.1833,17,8.8,1,0.5,3,3,0,0
EMP0083,35,Female,Sales,Senior Account Executive,Senior,Bristol,Remote,6.56,57500,50K-65K,0.1998,39,39.2,1,0.8,3,3,0,0
EMP0084,36,Female,Customer Support,Senior Support Specialist,Senior,London,Office,0.97,51000,50K-65K,0.0271,5,30.6,1,1.0,4,4,1,0
EMP0085,22,Male,Marketing,Senior Marketing Specialist,Senior,London,Office,9.13,57500,50K-65K,0.1017,26,2.4,1,1.0,3,3,0,0
EMP0086,40,Male,Operations,Senior Operations Specialist,Senior,Edinburgh,Hybrid,7.2,59000,50K-65K,0.2281,50,35.3,1,0.6667,2,2,0,0
EMP0087,64,Female,Sales,Sales Executive,Mid,London,Remote,1.6,46000,40K-50K,0.109,14,12.0,1,1.0,3,5,0,0
EMP0088,47,Male,Sales,Senior Account Executive,Senior,Leeds,Office,2.7,56500,50K-65K,0.0734,13,22.0,0,0.25,5,5,0,0
EMP0089,34,Male,Marketing,Senior Marketing Specialist,Senior,Edinburgh,Office,4.61,49000,40K-50K,0.0186,3,24.5,1,0.5,4,4,0,0
EMP0090,35,Female,Operations,Operations Analyst,Mid,Edinburgh,Remote,6.35,39500,30K-40K,0.0496,13,35.5,0,0.3333,4,3,0,0
EMP0091,25,Female,Marketing,Marketing Manager,Manager,London,Hybrid,2.54,95500,80K-100K,0.0678,18,37.9,0,0.3333,2,2,0,0
EMP0092,32,Male,IT,Data Analyst,Mid,Birmingham,Office,6.23,45000,40K-50K,0.0496,7,8.0,1,1.0,4,4,0,0
EMP0093,38,Not disclosed,HR,HR Assistant,Junior,Bristol,Hybrid,1.26,27500,Under 30K,0.0114,2,19.9,1,0.5,2,2,0,0
EMP0094,33,Male,Sales,Senior Account Executive,Senior,Bristol,Office,7.47,63500,50K-65K,0.034,11,15.8,0,0.0,2,2,0,0
EMP0095,45,Male,Operations,Operations Assistant,Junior,Manchester,Hybrid,5.38,30000,30K-40K,0.0714,12,49.8,1,0.75,3,4,0,0
EMP0096,47,Female,IT,Data Analyst,Mid,Edinburgh,Hybrid,5.29,39000,30K-40K,0.015,4,24.7,1,0.6667,4,5,0,0
EMP0097,22,Female,IT,Data Analyst,Mid,Birmingham,Hybrid,1.04,43500,40K-50K,0.0178,0,25.6,1,0.6667,4,5,0,0
EMP0098,45,Male,Customer Support,Customer Support Advisor,Junior,Birmingham,Remote,0.3,28500,Under 30K,0.1499,2,47.5,1,0.75,,,0,0
EMP0099,22,Female,Sales,Sales Development Representative,Junior,London,Remote,2.41,34000,30K-40K,0.1397,31,27.2,1,0.5,3,4,0,0
EMP0100,40,Female,IT,Data Analyst,Mid,Manchester,Office,9.39,40000,40K-50K,0.0615,12,8.1,1,0.5,5,4,1,0
EMP0101,38,Female,Sales,Sales Development Representative,Junior,London,Hybrid,5.4,35000,30K-40K,0.0956,23,8.3,1,0.5,2,2,0,0
EMP0102,43,Female,Marketing,Marketing Assistant,Junior,Bristol,Remote,9.31,31000,30K-40K,0.0918,24,28.0,1,1.0,2,3,0,1
EMP0103,47,Male,Marketing,Marketing Executive,Mid,London,Hybrid,1.57,44000,40K-50K,0.0355,5,35.7,1,0.6,3,4,0,0
EMP0104,26,Female,Customer Support,Customer Support Specialist,Mid,Bristol,Office,7.09,38500,30K-40K,0.0735,24,15.3,0,0.0,2,3,0,0
EMP0105,32,Male,IT,Senior Data Engineer,Senior,Manchester,Remote,1.24,64500,50K-65K,0.0641,7,7.0,1,1.0,3,2,0,0
EMP0106,52,Female,IT,Data Analyst,Mid,Birmingham,Office,5.23,42000,40K-50K,0.1108,28,24.9,1,0.5,3,3,0,0
EMP0107,37,Male,HR,HR Business Partner,Senior,Leeds,Office,0.83,61000,50K-65K,0.0516,5,52.4,1,1.0,4,5,0,0
EMP0108,39,Female,Legal,Legal Advisor,Mid,London,Office,4.79,44500,40K-50K,0.1457,40,63.0,1,0.8,3,4,0,0
EMP0109,39,Female,IT,Technology Director,Director,London,Office,7.62,151500,100K+,0.0339,5,10.1,1,1.0,4,5,0,0
EMP0110,63,Female,Customer Support,Customer Support Specialist,Mid,London,Hybrid,2.52,35000,30K-40K,0.0582,19,13.1,1,1.0,3,2,0,0
