attendance_id,employee_id,attendance_month,working_days,present_days,absent_days,late_arrivals,remote_work_days,overtime_hours
ATT000001,EMP0001,2024-01-01,23,21,2,0,18,3.0
ATT000002,EMP0001,2024-02-01,21,21,0,0,17,16.4
ATT000003,EMP0001,2024-03-01,21,18,3,3,13,6.6
ATT000004,EMP0001,2024-04-01,22,22,0,1,20,5.0
ATT000005,EMP0001,2024-05-01,23,22,1,1,16,11.2
ATT000006,EMP0001,2024-06-01,20,20,0,3,17,7.5
ATT000007,EMP0001,2024-07-01,23,21,2,0,19,7.5
ATT000008,EMP0001,2024-08-01,22,20,2,2,14,6.6
ATT000009,EMP0001,2024-09-01,21,21,0,0,20,9.5
ATT000010,EMP0001,2024-10-01,23,22,1,3,18,5.9
ATT000011,EMP0001,2024-11-01,21,18,3,0,12,12.1
ATT000012,EMP0001,2024-12-01,22,19,3,1,14,3.9
ATT000013,EMP0001,2025-01-01,23,20,3,2,15,3.3
ATT000014,EMP0001,2025-02-01,20,17,3,0,14,0.0
ATT000015,EMP0001,2025-03-01,21,20,1,0,17,6.8
ATT000016,EMP0001,2025-04-01,22,22,0,3,16,0.0
ATT000017,EMP0001,2025-05-01,22,21,1,0,15,6.1
ATT000018,EMP0001,2025-06-01,21,18,3,1,14,2.0
ATT000019,EMP0001,2025-07-01,23,20,3,0,12,2.3
ATT000020,EMP0001,2025-08-01,21,19,2,1,15,0.3
ATT000021,EMP0001,2025-09-01,22,21,1,3,20,7.5
ATT000022,EMP0001,2025-10-01,23,18,5,1,16,0.9
ATT000023,EMP0001,2025-11-01,20,18,2,1,15,7.8
ATT000024,EMP0001,2025-12-01,23,19,4,0,12,5.1
ATT000025,EMP0001,2026-01-01,22,18,4,2,15,9.1
ATT000026,EMP0001,2026-02-01,20,20,0,0,15,7.6
ATT000027,EMP0001,2026-03-01,22,19,3,1,12,2.2
ATT000028,EMP0001,2026-04-01,22,20,2,1,18,0.7
ATT000029,EMP0001,2026-05-01,21,19,2,2,19,3.7
ATT000030,EMP0001,2026-06-01,22,18,4,5,14,8.9
ATT000031,EMP0002,2024-01-01,23,22,1,0,11,3.5
ATT000032,EMP0002,2024-02-01,21,21,0,0,4,5.9
ATT000033,EMP0002,2024-03-01,21,19,2,1,8,0.0
ATT000034,EMP0002,2024-04-01,22,22,0,1,11,5.1
ATT000035,EMP0002,2024-05-01,23,22,1,2,9,0.8
