payroll_id,employee_id,pay_period,annual_salary,monthly_salary,bonus_amount,pay_grade,salary_band,currency
PAY000001,EMP0001,2024-01-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000002,EMP0001,2024-02-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000003,EMP0001,2024-03-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000004,EMP0001,2024-04-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000005,EMP0001,2024-05-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000006,EMP0001,2024-06-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000007,EMP0001,2024-07-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000008,EMP0001,2024-08-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000009,EMP0001,2024-09-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000010,EMP0001,2024-10-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000011,EMP0001,2024-11-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000012,EMP0001,2024-12-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000013,EMP0001,2025-01-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000014,EMP0001,2025-02-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000015,EMP0001,2025-03-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000016,EMP0001,2025-04-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000017,EMP0001,2025-05-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000018,EMP0001,2025-06-01,57500,4791.67,2876.36,G5,50K-65K,GBP
PAY000019,EMP0001,2025-07-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000020,EMP0001,2025-08-01,57500,4791.67,507.24,G5,50K-65K,GBP
PAY000021,EMP0001,2025-09-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000022,EMP0001,2025-10-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000023,EMP0001,2025-11-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000024,EMP0001,2025-12-01,57500,4791.67,1053.51,G5,50K-65K,GBP
PAY000025,EMP0001,2026-01-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000026,EMP0001,2026-02-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000027,EMP0001,2026-03-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000028,EMP0001,2026-04-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000029,EMP0001,2026-05-01,57500,4791.67,2189.79,G5,50K-65K,GBP
PAY000030,EMP0001,2026-06-01,57500,4791.67,0.0,G5,50K-65K,GBP
PAY000031,EMP0002,2024-01-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000032,EMP0002,2024-02-01,100000,8333.33,0.0,G7,100K+,GBP
