performance_id,employee_id,review_year,review_period,performance_rating,potential_rating,promotion_flag,manager_id
PERF000001,EMP0001,2024,Annual,4,5,0,EMP0416
PERF000002,EMP0001,2025,Annual,5,5,0,EMP0416
PERF000003,EMP0001,2025,Mid-Year,5,4,0,EMP0416
PERF000004,EMP0002,2024,Annual,4,4,0,
PERF000005,EMP0002,2025,Annual,4,4,0,
PERF000006,EMP0002,2025,Mid-Year,4,4,0,
PERF000007,EMP0003,2024,Annual,4,3,0,EMP0024
PERF000008,EMP0003,2025,Annual,4,4,0,EMP0024
PERF000009,EMP0003,2025,Mid-Year,4,4,1,EMP0024
PERF000010,EMP0004,2024,Annual,3,3,0,EMP0218
PERF000011,EMP0004,2025,Annual,3,3,0,EMP0218
PERF000012,EMP0004,2025,Mid-Year,3,2,0,EMP0218
PERF000013,EMP0005,2024,Annual,4,3,0,EMP0384
PERF000014,EMP0005,2024,Mid-Year,3,2,0,EMP0384
PERF000015,EMP0005,2025,Annual,3,4,0,EMP0384
PERF000016,EMP0005,2025,Mid-Year,3,3,0,EMP0384
PERF000017,EMP0006,2024,Annual,3,3,0,
PERF000018,EMP0006,2025,Annual,3,4,0,
PERF000019,EMP0007,2024,Annual,4,4,0,EMP0469
PERF000020,EMP0007,2025,Annual,4,4,0,EMP0469
PERF000021,EMP0007,2025,Mid-Year,3,3,0,EMP0469
PERF000022,EMP0008,2024,Annual,3,5,0,EMP0590
PERF000023,EMP0008,2025,Annual,4,4,0,EMP0590
PERF000024,EMP0010,2025,Annual,5,5,0,EMP0528
PERF000025,EMP0011,2024,Annual,2,2,0,EMP0333
PERF000026,EMP0011,2025,Annual,3,3,0,EMP0333
PERF000027,EMP0011,2025,Mid-Year,3,4,0,EMP0333
PERF000028,EMP0012,2024,Annual,5,5,0,EMP0460
PERF000029,EMP0012,2024,Mid-Year,3,4,0,EMP0460
PERF000030,EMP0012,2025,Annual,5,5,0,EMP0460
PERF000031,EMP0013,2024,Annual,3,3,0,EMP0491
PERF000032,EMP0013,2024,Mid-Year,2,1,0,EMP0491
PERF000033,EMP0013,2025,Annual,3,4,0,EMP0491
PERF000034,EMP0014,2024,Annual,4,3,0,EMP0421
PERF000035,EMP0014,2024,Mid-Year,5,5,0,EMP0421
PERF000036,EMP0014,2025,Annual,4,4,0,EMP0421
PERF000037,EMP0014,2025,Mid-Year,4,4,0,EMP0421
PERF000038,EMP0015,2025,Annual,3,3,0,EMP0528
PERF000039,EMP0016,2024,Annual,3,4,0,EMP0275
PERF000040,EMP0016,2025,Annual,4,5,1,EMP0275
PERF000041,EMP0017,2024,Annual,5,5,1,EMP0330
PERF000042,EMP0017,2025,Annual,5,5,1,EMP0330
PERF000043,EMP0019,2024,Annual,3,3,0,EMP0169
PERF000044,EMP0019,2025,Annual,3,4,0,EMP0169
PERF000045,EMP0019,2025,Mid-Year,3,3,0,EMP0169
PERF000046,EMP0020,2024,Annual,4,4,0,EMP0470
PERF000047,EMP0020,2024,Mid-Year,4,4,1,EMP0470
PERF000048,EMP0020,2025,Annual,5,4,1,EMP0470
PERF000049,EMP0021,2024,Annual,4,5,0,EMP0141
PERF000050,EMP0021,2025,Annual,5,5,0,EMP0141
PERF000051,EMP0021,2025,Mid-Year,4,5,0,EMP0141
PERF000052,EMP0022,2024,Annual,3,3,0,EMP0020
PERF000053,EMP0022,2024,Mid-Year,4,5,1,EMP0020
PERF000054,EMP0022,2025,Annual,4,4,0,EMP0020
PERF000055,EMP0022,2025,Mid-Year,4,4,0,EMP0020
PERF000056,EMP0023,2024,Annual,4,3,0,EMP0024
PERF000057,EMP0023,2025,Annual,5,5,0,EMP0024
PERF000058,EMP0024,2025,Annual,5,5,1,
PERF000059,EMP0024,2025,Mid-Year,4,4,0,
PERF000060,EMP0025,2024,Annual,5,5,0,EMP0590
PERF000061,EMP0025,2024,Mid-Year,4,4,0,EMP0590
PERF000062,EMP0025,2025,Annual,5,5,0,EMP0590
PERF000063,EMP0026,2024,Annual,4,4,0,EMP0361
PERF000064,EMP0026,2025,Annual,2,2,0,EMP0361
PERF000065,EMP0027,2024,Annual,2,1,0,EMP0329
PERF000066,EMP0027,2024,Mid-Year,4,3,0,EMP0329
PERF000067,EMP0027,2025,Annual,4,4,0,EMP0329
PERF000068,EMP0029,2024,Annual,4,4,0,EMP0006
PERF000069,EMP0029,2024,Mid-Year,4,4,1,EMP0006
PERF000070,EMP0029,2025,Annual,2,2,0,EMP0006
PERF000071,EMP0029,2025,Mid-Year,3,2,0,EMP0006
PERF000072,EMP0030,2024,Annual,4,4,0,EMP0599
PERF000073,EMP0030,2024,Mid-Year,4,4,1,EMP0599
PERF000074,EMP0030,2025,Annual,4,5,1,EMP0599
PERF000075,EMP0031,2025,Annual,3,3,0,EMP0438
PERF000076,EMP0031,2025,Mid-Year,3,4,0,EMP0438
PERF000077,EMP0032,2024,Annual,4,5,1,
PERF000078,EMP0032,2025,Annual,4,4,1,
PERF000079,EMP0032,2025,Mid-Year,3,3,0,
PERF000080,EMP0034,2024,Annual,2,3,0,EMP0384
PERF000081,EMP0034,2024,Mid-Year,3,2,0,EMP0384
PERF000082,EMP0034,2025,Annual,2,3,0,EMP0384
PERF000083,EMP0035,2024,Annual,4,5,0,EMP0438
PERF000084,EMP0035,2024,Mid-Year,3,2,0,EMP0438
PERF000085,EMP0035,2025,Annual,4,5,0,EMP0438
PERF000086,EMP0036,2024,Annual,3,4,0,EMP0433
PERF000087,EMP0036,2025,Annual,2,2,0,EMP0433
PERF000088,EMP0037,2024,Annual,3,3,0,EMP0179
PERF000089,EMP0037,2024,Mid-Year,4,4,0,EMP0179
PERF000090,EMP0037,2025,Annual,4,4,0,EMP0179
PERF000091,EMP0038,2024,Annual,4,3,0,EMP0328
PERF000092,EMP0038,2024,Mid-Year,4,3,0,EMP0328
PERF000093,EMP0038,2025,Annual,4,2,0,EMP0328
PERF000094,EMP0038,2025,Mid-Year,4,4,0,EMP0328
PERF000095,EMP0039,2024,Annual,4,3,0,EMP0547
PERF000096,EMP0039,2024,Mid-Year,3,5,0,EMP0547
PERF000097,EMP0039,2025,Annual,3,3,0,EMP0547
PERF000098,EMP0039,2025,Mid-Year,4,4,0,EMP0547
PERF000099,EMP0040,2024,Annual,3,3,0,EMP0341
PERF000100,EMP0040,2024,Mid-Year,4,5,0,EMP0341
PERF000101,EMP0040,2025,Annual,4,5,0,EMP0341
PERF000102,EMP0041,2024,Annual,2,3,0,EMP0472
PERF000103,EMP0041,2025,Annual,2,2,0,EMP0472
PERF000104,EMP0042,2024,Annual,2,2,0,EMP0544
PERF000105,EMP0042,2024,Mid-Year,2,2,0,EMP0544
PERF000106,EMP0042,2025,Annual,2,3,0,EMP0544
PERF000107,EMP0043,2025,Annual,3,3,0,EMP0338
PERF000108,EMP0044,2024,Annual,4,2,0,EMP0226
PERF000109,EMP0044,2024,Mid-Year,3,4,0,EMP0226
PERF000110,EMP0044,2025,Annual,4,4,0,EMP0226
PERF000111,EMP0045,2024,Annual,3,3,0,EMP0504
PERF000112,EMP0045,2024,Mid-Year,4,5,0,EMP0504
PERF000113,EMP0045,2025,Annual,4,4,0,EMP0504
PERF000114,EMP0045,2025,Mid-Year,3,2,0,EMP0504
PERF000115,EMP0046,2024,Annual,4,3,0,EMP0351
PERF000116,EMP0046,2024,Mid-Year,4,3,0,EMP0351
PERF000117,EMP0046,2025,Annual,3,3,0,EMP0351
PERF000118,EMP0046,2025,Mid-Year,4,4,1,EMP0351
PERF000119,EMP0047,2024,Annual,4,5,0,EMP0307
PERF000120,EMP0047,2024,Mid-Year,3,3,0,EMP0307
PERF000121,EMP0047,2025,Annual,4,4,1,EMP0307
PERF000122,EMP0047,2025,Mid-Year,3,3,0,EMP0307
PERF000123,EMP0048,2025,Annual,2,2,0,EMP0109
PERF000124,EMP0048,2025,Mid-Year,2,2,0,EMP0109
PERF000125,EMP0049,2024,Annual,2,1,0,EMP0361
PERF000126,EMP0049,2025,Annual,4,5,0,EMP0361
PERF000127,EMP0049,2025,Mid-Year,4,3,0,EMP0361
PERF000128,EMP0051,2024,Annual,3,2,0,EMP0333
PERF000129,EMP0051,2025,Annual,4,3,0,EMP0333
PERF000130,EMP0052,2024,Annual,5,4,0,EMP0384
PERF000131,EMP0052,2024,Mid-Year,5,5,0,EMP0384
PERF000132,EMP0053,2024,Annual,4,4,0,EMP0091
PERF000133,EMP0053,2025,Annual,4,4,0,EMP0091
PERF000134,EMP0053,2025,Mid-Year,5,5,0,EMP0091
PERF000135,EMP0054,2025,Annual,5,5,0,EMP0438
PERF000136,EMP0054,2025,Mid-Year,3,4,0,EMP0438
PERF000137,EMP0055,2024,Annual,3,2,0,EMP0206
PERF000138,EMP0055,2025,Annual,2,2,0,EMP0206
PERF000139,EMP0055,2025,Mid-Year,3,3,0,EMP0206
