candidate_id,requisition_id,department,job_role,location,recruitment_source,application_date,interview_date,offer_date,hire_date,status,hired_employee_id,time_to_hire_days
CAND000001,REQ4783,HR,HR Advisor,Edinburgh,Campus,2025-04-05,2025-04-24,2025-05-03,2025-05-02,Hired,EMP0010,27.0
CAND000002,REQ6642,Finance,Accounts Assistant,Birmingham,LinkedIn,2024-02-07,2024-02-18,2024-02-22,2024-04-02,Hired,EMP0011,55.0
CAND000003,REQ8022,HR,HR Advisor,Leeds,Job Board,2025-02-01,2025-02-10,2025-02-15,2025-03-01,Hired,EMP0015,28.0
CAND000004,REQ4455,Customer Support,Customer Support Advisor,Bristol,Campus,2024-03-07,2024-03-27,2024-04-05,2024-04-09,Hired,EMP0016,33.0
CAND000005,REQ4687,Operations,Operations Assistant,Bristol,Referral,2024-01-24,2024-02-01,2024-02-09,2024-03-15,Hired,EMP0023,51.0
CAND000006,REQ5338,Operations,Operations Director,Birmingham,Company Website,2025-02-03,2025-02-22,2025-03-01,2025-04-01,Hired,EMP0024,57.0
CAND000007,REQ6362,Marketing,Marketing Assistant,Birmingham,Referral,2026-02-07,2026-02-14,2026-02-17,2026-04-15,Hired,EMP0028,67.0
CAND000008,REQ3765,Customer Support,Customer Support Specialist,Manchester,Job Board,2025-05-29,2025-06-10,2025-06-15,2025-07-23,Hired,EMP0031,55.0
CAND000009,REQ2397,Finance,Accounts Assistant,Leeds,Referral,2025-12-22,2025-12-27,2026-01-09,2026-02-14,Hired,EMP0033,54.0
CAND000010,REQ9490,Legal,Legal Assistant,London,Job Board,2025-03-04,2025-03-23,2025-04-02,2025-05-16,Hired,EMP0043,73.0
CAND000011,REQ9613,IT,Junior Software Developer,London,Job Board,2025-05-07,2025-05-24,2025-05-29,2025-05-30,Hired,EMP0048,23.0
CAND000012,REQ9445,Customer Support,Senior Support Specialist,Edinburgh,Job Board,2025-10-13,2025-10-27,2025-10-31,2025-11-03,Hired,EMP0054,21.0
CAND000013,REQ6178,IT,Senior Data Engineer,Manchester,Job Board,2024-10-26,2024-11-03,2024-11-14,2024-11-13,Hired,EMP0057,18.0
CAND000014,REQ3172,Sales,Senior Account Executive,Bristol,Agency,2024-04-10,2024-04-20,2024-04-25,2024-06-10,Hired,EMP0058,61.0
CAND000015,REQ4787,Sales,Sales Executive,Manchester,Job Board,2024-03-19,2024-04-07,2024-04-11,2024-05-06,Hired,EMP0060,48.0
CAND000016,REQ9702,Customer Support,Customer Support Advisor,London,Referral,2024-10-24,2024-11-12,2024-11-17,2024-12-14,Hired,EMP0066,51.0
CAND000017,REQ6289,IT,Junior Software Developer,London,Agency,2025-10-06,2025-10-23,2025-11-03,2025-11-02,Hired,EMP0072,27.0
CAND000018,REQ7214,Legal,Legal Assistant,Leeds,LinkedIn,2025-08-08,2025-08-21,2025-09-02,2025-09-24,Hired,EMP0073,47.0
CAND000019,REQ4758,Sales,Sales Executive,Edinburgh,Referral,2024-08-08,2024-08-28,2024-08-31,2024-09-28,Hired,EMP0074,51.0
CAND000020,REQ6724,Marketing,Marketing Assistant,Birmingham,Job Board,2025-12-26,2026-01-14,2026-01-24,2026-02-26,Hired,EMP0078,62.0
CAND000021,REQ7683,Customer Support,Customer Support Specialist,Birmingham,LinkedIn,2025-02-22,2025-03-03,2025-03-14,2025-04-20,Hired,EMP0082,57.0
CAND000022,REQ3253,Customer Support,Senior Support Specialist,London,LinkedIn,2025-05-15,2025-05-21,2025-06-02,2025-07-09,Hired,EMP0084,55.0
CAND000023,REQ7488,Sales,Sales Executive,London,Company Website,2024-10-24,2024-11-12,2024-11-17,2024-11-24,Hired,EMP0087,31.0
CAND000024,REQ7842,HR,HR Assistant,Bristol,LinkedIn,2025-01-27,2025-02-16,2025-02-19,2025-03-25,Hired,EMP0093,57.0
CAND000025,REQ6103,IT,Data Analyst,Birmingham,Agency,2025-05-12,2025-05-22,2025-06-02,2025-06-14,Hired,EMP0097,33.0
CAND000026,REQ3502,Customer Support,Customer Support Advisor,Birmingham,LinkedIn,2026-01-04,2026-01-25,2026-02-05,2026-03-13,Hired,EMP0098,68.0
CAND000027,REQ7593,Sales,Sales Development Representative,London,Job Board,2023-11-28,2023-12-10,2023-12-18,2024-02-01,Hired,EMP0099,65.0
CAND000028,REQ8182,Marketing,Marketing Executive,London,Job Board,2024-11-05,2024-11-22,2024-12-05,2024-12-02,Hired,EMP0103,27.0
CAND000029,REQ2201,IT,Senior Data Engineer,Manchester,Job Board,2025-03-08,2025-03-24,2025-03-28,2025-04-04,Hired,EMP0105,27.0
CAND000030,REQ9274,HR,HR Business Partner,Leeds,Referral,2025-07-08,2025-07-21,2025-07-31,2025-09-01,Hired,EMP0107,55.0
CAND000031,REQ8417,Customer Support,Customer Support Specialist,Birmingham,Job Board,2024-09-10,2024-09-29,2024-10-07,2024-11-16,Hired,EMP0112,67.0
CAND000032,REQ6977,Finance,Finance Analyst,Birmingham,Agency,2025-12-27,2026-01-01,2026-01-12,2026-01-18,Hired,EMP0114,22.0
CAND000033,REQ4940,Marketing,Marketing Manager,Manchester,Agency,2025-07-08,2025-07-27,2025-08-07,2025-09-03,Hired,EMP0116,57.0
CAND000034,REQ6089,Operations,Operations Manager,Birmingham,Job Board,2024-12-31,2025-01-21,2025-01-28,2025-02-08,Hired,EMP0119,39.0
CAND000035,REQ3016,Customer Support,Senior Support Specialist,London,LinkedIn,2024-09-01,2024-09-10,2024-09-17,2024-09-20,Hired,EMP0129,19.0
CAND000036,REQ7026,HR,HR Business Partner,Edinburgh,LinkedIn,2025-09-20,2025-10-07,2025-10-15,2025-10-09,Hired,EMP0131,19.0
CAND000037,REQ8353,HR,HR Advisor,Birmingham,Company Website,2025-12-12,2025-12-29,2026-01-04,2026-01-18,Hired,EMP0133,37.0
CAND000038,REQ3885,Customer Support,Senior Support Specialist,Edinburgh,Referral,2025-07-01,2025-07-08,2025-07-16,2025-09-10,Hired,EMP0137,71.0
CAND000039,REQ6201,IT,Data Analyst,Manchester,Campus,2024-05-29,2024-06-07,2024-06-16,2024-06-20,Hired,EMP0140,22.0
CAND000040,REQ8316,Legal,Legal Manager,London,LinkedIn,2025-01-10,2025-01-20,2025-01-27,2025-02-14,Hired,EMP0141,35.0
CAND000041,REQ6306,Sales,Senior Account Executive,Bristol,Agency,2025-01-06,2025-01-16,2025-01-27,2025-02-11,Hired,EMP0144,36.0
CAND000042,REQ8902,Customer Support,Customer Support Specialist,Bristol,LinkedIn,2024-10-24,2024-11-04,2024-11-09,2024-11-24,Hired,EMP0146,31.0
CAND000043,REQ9353,Sales,Sales Development Representative,Edinburgh,LinkedIn,2026-01-08,2026-01-16,2026-01-24,2026-02-26,Hired,EMP0151,49.0
CAND000044,REQ1443,Operations,Operations Analyst,Manchester,Campus,2024-08-24,2024-09-12,2024-09-17,2024-09-18,Hired,EMP0164,25.0
CAND000045,REQ4388,Sales,Sales Development Representative,London,Agency,2023-12-31,2024-01-12,2024-01-23,2024-02-03,Hired,EMP0168,34.0
CAND000046,REQ3069,Sales,Sales Development Representative,Leeds,Referral,2025-06-30,2025-07-06,2025-07-17,2025-08-25,Hired,EMP0177,56.0
CAND000047,REQ7065,Operations,Senior Operations Specialist,Birmingham,LinkedIn,2024-12-06,2024-12-11,2024-12-15,2024-12-26,Hired,EMP0182,20.0
CAND000048,REQ8215,Sales,Sales Executive,Manchester,Job Board,2024-10-06,2024-10-26,2024-11-03,2024-12-12,Hired,EMP0185,67.0
CAND000049,REQ1565,Customer Support,Customer Support Advisor,Edinburgh,Referral,2024-08-18,2024-08-27,2024-08-30,2024-10-23,Hired,EMP0186,66.0
CAND000050,REQ8816,Operations,Senior Operations Specialist,Edinburgh,LinkedIn,2024-11-14,2024-11-19,2024-11-26,2024-12-09,Hired,EMP0194,25.0
CAND000051,REQ5153,IT,Data Analyst,London,Referral,2026-02-24,2026-03-10,2026-03-19,2026-03-21,Hired,EMP0196,25.0
CAND000052,REQ7070,Operations,Senior Operations Specialist,Manchester,Referral,2025-11-04,2025-11-24,2025-12-05,2025-12-21,Hired,EMP0197,47.0
