attendance_id,employee_id,attendance_month,working_days,present_days,absent_days,late_arrivals,remote_work_days,overtime_hours,ingestion_timestamp,source_file_name,source_system,pipeline_run_id,attendance_rate,absence_rate
ATT000001,EMP0001,2024-01-01,23,21,2,0,18,3.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.913,0.087
ATT000002,EMP0001,2024-02-01,21,21,0,0,17,16.4,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000003,EMP0001,2024-03-01,21,18,3,3,13,6.6,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8571,0.1429
ATT000004,EMP0001,2024-04-01,22,22,0,1,20,5.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000005,EMP0001,2024-05-01,23,22,1,1,16,11.2,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9565,0.0435
ATT000006,EMP0001,2024-06-01,20,20,0,3,17,7.5,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000007,EMP0001,2024-07-01,23,21,2,0,19,7.5,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.913,0.087
ATT000008,EMP0001,2024-08-01,22,20,2,2,14,6.6,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9091,0.0909
ATT000009,EMP0001,2024-09-01,21,21,0,0,20,9.5,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000010,EMP0001,2024-10-01,23,22,1,3,18,5.9,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9565,0.0435
ATT000011,EMP0001,2024-11-01,21,18,3,0,12,12.1,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8571,0.1429
ATT000012,EMP0001,2024-12-01,22,19,3,1,14,3.9,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8636,0.1364
ATT000013,EMP0001,2025-01-01,23,20,3,2,15,3.3,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8696,0.1304
