year,month,month_name,department_name,total_monthly_salary_cost,average_annual_salary,paid_employees
2024,1,January,IT,405375.01,51750.0,94
2024,1,January,Sales,337541.65,49396.34,82
2024,1,January,Operations,335500.05,47928.57,84
2024,1,January,Customer Support,196958.34,47270.0,50
2024,1,January,Finance,189083.35,51568.18,44
2024,1,January,Marketing,176833.34,48227.27,44
2024,1,January,HR,112708.3,39779.41,34
2024,1,January,Legal,107416.66,47740.74,27
2024,2,February,IT,405375.01,51750.0,94
2024,2,February,Sales,343333.31,49047.62,84
2024,2,February,Operations,335500.05,47928.57,84
2024,2,February,Finance,196958.35,50287.23,47
2024,2,February,Customer Support,196958.34,47270.0,50
2024,2,February,Marketing,176833.34,48227.27,44
2024,2,February,HR,116166.63,39828.57,35
2024,2,February,Legal,107416.66,47740.74,27
2024,3,March,IT,394333.34,52000.0,91
2024,3,March,Sales,339291.64,49054.22,83
2024,3,March,Operations,337916.72,47705.88,85
2024,3,March,Finance,204250.02,50020.41,49
2024,3,March,Customer Support,196958.34,47270.0,50
2024,3,March,Marketing,182750.01,48733.33,45
2024,3,March,HR,116166.63,39828.57,35
2024,3,March,Legal,107416.66,47740.74,27
2024,4,April,IT,394333.34,52000.0,91
2024,4,April,Operations,340333.39,47488.37,86
2024,4,April,Sales,339791.64,49126.51,83
2024,4,April,Finance,212791.69,50068.63,51
2024,4,April,Customer Support,199166.67,46862.75,51
2024,4,April,Marketing,182750.01,48733.33,45
2024,4,April,HR,113583.3,40088.24,34
2024,4,April,Legal,107416.66,47740.74,27
2024,5,May,IT,397083.34,51793.48,92
2024,5,May,Sales,343791.64,49113.1,84
2024,5,May,Operations,335125.06,47875.0,84
2024,5,May,Finance,212791.69,50068.63,51
2024,5,May,Customer Support,196416.67,47140.0,50
2024,5,May,Marketing,182750.01,48733.33,45
2024,5,May,HR,111541.64,39367.65,34
2024,5,May,Legal,107416.66,47740.74,27
2024,6,June,IT,398916.68,52032.61,92
2024,6,June,Sales,349333.31,49317.65,85
2024,6,June,Operations,332500.06,48072.29,83
2024,6,June,Finance,213625.02,50264.71,51
2024,6,June,Customer Support,200791.67,46336.54,52
2024,6,June,Marketing,182750.01,48733.33,45
2024,6,June,HR,111541.64,39367.65,34
2024,6,June,Legal,110874.99,47517.86,28
2024,7,July,IT,397791.68,51327.96,93
2024,7,July,Sales,349333.31,49317.65,85
2024,7,July,Operations,342333.39,48329.41,85
2024,7,July,Finance,213625.02,50264.71,51
2024,7,July,Customer Support,200791.67,46336.54,52
2024,7,July,Marketing,185541.68,48402.17,46
2024,7,July,HR,111541.64,39367.65,34
2024,7,July,Legal,110874.99,47517.86,28
2024,8,August,IT,392458.35,51190.22,92
2024,8,August,Sales,366208.31,49937.5,88
2024,8,August,Operations,345541.72,48215.12,86
2024,8,August,Finance,213625.02,50264.71,51
2024,8,August,Customer Support,204625.0,46330.19,53
2024,8,August,Marketing,183500.01,48933.33,45
2024,8,August,HR,111541.64,39367.65,34
2024,8,August,Legal,102666.66,45629.63,27
2024,9,September,IT,389125.02,51313.19,91
2024,9,September,Sales,374333.31,49911.11,90
2024,9,September,Operations,359500.05,48471.91,89
2024,9,September,Customer Support,215291.67,46133.93,56
2024,9,September,Finance,213625.02,50264.71,51
2024,9,September,Marketing,183500.01,48933.33,45
2024,9,September,HR,111541.64,39367.65,34
2024,9,September,Legal,102666.66,45629.63,27
2024,10,October,IT,389125.02,51313.19,91
2024,10,October,Sales,372166.64,50179.78,89
2024,10,October,Operations,367083.38,48406.59,91
2024,10,October,Customer Support,222000.0,45931.03,58
2024,10,October,Finance,213625.02,50264.71,51
2024,10,October,Marketing,183500.01,48933.33,45
2024,10,October,HR,111541.64,39367.65,34
2024,10,October,Legal,102666.66,45629.63,27
2024,11,November,IT,395416.69,51576.09,92
2024,11,November,Sales,375999.97,50133.33,90
2024,11,November,Operations,364666.71,48622.22,90
2024,11,November,Customer Support,234041.66,46040.98,61
2024,11,November,Finance,213625.02,50264.71,51
2024,11,November,Marketing,183500.01,48933.33,45
2024,11,November,HR,115749.97,39685.71,35
2024,11,November,Legal,102666.66,45629.63,27
2024,12,December,IT,395291.69,51559.78,92
2024,12,December,Sales,391291.64,50489.25,93
2024,12,December,Operations,373791.71,48755.43,92
2024,12,December,Customer Support,232541.66,45745.9,61
2024,12,December,Finance,213791.68,50303.92,51
2024,12,December,Marketing,187166.68,48826.09,46
2024,12,December,HR,115749.97,39685.71,35
2024,12,December,Legal,102666.66,45629.63,27
2025,1,January,IT,395291.69,51559.78,92
2025,1,January,Sales,391291.64,50489.25,93
2025,1,January,Operations,378958.38,48897.85,93
2025,1,January,Customer Support,237416.66,45951.61,62
2025,1,January,Finance,213791.68,50303.92,51
2025,1,January,Marketing,187166.68,48826.09,46
2025,1,January,HR,109333.3,39757.58,33
2025,1,January,Legal,102666.66,45629.63,27
2025,2,February,Sales,399083.3,50410.53,95
2025,2,February,IT,392916.69,51813.19,91
2025,2,February,Operations,390958.38,48869.79,96
2025,2,February,Customer Support,235124.99,46254.1,61
2025,2,February,Finance,213041.68,49163.46,52
2025,2,February,Marketing,199125.01,48765.31,49
2025,2,February,Legal,111499.99,47785.71,28
2025,2,February,HR,109333.3,39757.58,33
2025,3,March,Sales,395249.97,50457.45,94
2025,3,March,Operations,390958.38,48869.79,96
2025,3,March,IT,389000.02,51866.67,90
2025,3,March,Customer Support,231374.99,46275.0,60
2025,3,March,Finance,213041.68,49163.46,52
2025,3,March,Marketing,199125.01,48765.31,49
2025,3,March,HR,115083.3,39457.14,35
2025,3,March,Legal,111499.99,47785.71,28
2025,4,April,Operations,400416.71,49536.08,97
2025,4,April,Sales,395249.97,50457.45,94
2025,4,April,IT,390916.69,52122.22,90
2025,4,April,Customer Support,237708.32,46008.06,62
2025,4,April,Finance,213041.68,49163.46,52
2025,4,April,Marketing,199125.01,48765.31,49
2025,4,April,HR,115083.3,39457.14,35
2025,4,April,Legal,111499.99,47785.71,28
2025,5,May,IT,399708.36,52135.87,92
2025,5,May,Operations,396791.71,49598.96,96
2025,5,May,Sales,389624.97,50820.65,92
2025,5,May,Customer Support,237708.32,46008.06,62
2025,5,May,Finance,213041.68,49163.46,52
2025,5,May,Marketing,205083.34,48254.9,51
2025,5,May,Legal,114916.66,47551.72,29
2025,5,May,HR,114249.97,39171.43,35
2025,6,June,IT,397791.69,51885.87,92
2025,6,June,Operations,396791.71,49598.96,96
2025,6,June,Sales,389624.97,50820.65,92
2025,6,June,Customer Support,238291.65,46120.97,62
2025,6,June,Finance,216583.35,49037.74,53
2025,6,June,Marketing,205083.34,48254.9,51
2025,6,June,Legal,114916.66,47551.72,29
2025,6,June,HR,114249.97,39171.43,35
2025,7,July,IT,404500.02,52193.55,93
2025,7,July,Sales,399833.31,50505.26,95
2025,7,July,Operations,396791.71,49598.96,96
2025,7,July,Customer Support,243083.32,46301.59,63
2025,7,July,Finance,216583.35,49037.74,53
2025,7,July,Marketing,202000.01,48480.0,50
2025,7,July,Legal,114916.66,47551.72,29
2025,7,July,HR,114249.97,39171.43,35
2025,8,August,Sales,410916.65,50316.33,98
2025,8,August,IT,404500.02,52193.55,93
2025,8,August,Operations,392708.38,49605.26,95
2025,8,August,Customer Support,243083.32,46301.59,63
2025,8,August,Finance,225958.35,49300.0,55
2025,8,August,Marketing,196125.01,48030.61,49
2025,8,August,Legal,114916.66,47551.72,29
2025,8,August,HR,114249.97,39171.43,35
2025,9,September,Sales,414624.98,50257.58,99
2025,9,September,IT,399958.35,52168.48,92
2025,9,September,Operations,392458.37,49057.29,96
2025,9,September,Customer Support,245208.32,46706.35,63
2025,9,September,Finance,231041.68,49508.93,56
2025,9,September,Marketing,200333.34,49061.22,49
2025,9,September,HR,119333.3,39777.78,36
2025,9,September,Legal,117791.66,47116.67,30
2025,10,October,Sales,414624.98,50257.58,99
2025,10,October,IT,399958.35,52168.48,92
2025,10,October,Operations,397791.7,49211.34,97
2025,10,October,Customer Support,245208.32,46706.35,63
2025,10,October,Finance,231041.68,49508.93,56
