leave_type,leave_status,leave_records,total_leave_days,average_leave_days
Annual,Approved,1526,8337,5.46
Paternity,Approved,58,2453,42.29
Maternity,Approved,51,2257,44.25
Sick,Approved,678,1971,2.91
Unpaid,Approved,167,637,3.81
Annual,Pending,106,588,5.55
Annual,Rejected,96,475,4.95
Paternity,Rejected,7,365,52.14
Other,Approved,99,363,3.67
Maternity,Pending,5,222,44.4
Paternity,Pending,4,161,40.25
Maternity,Rejected,4,160,40.0
Sick,Pending,49,159,3.24
Sick,Rejected,46,139,3.02
Unpaid,Rejected,12,47,3.92
Unpaid,Pending,12,46,3.83
Other,Pending,4,15,3.75
Other,Rejected,3,14,4.67
